"Notes","Author","Manual.Tags"
"<p>pre-registration of research protocols prior to the commencement of data collectionis is a requirement for all research, not just clinical trialsin the World Medical Association Declaration of HelsinkiÂ  (2013).</p> <p>This initiative is not meant to be prescriptive â€“ Registered Reports is part of the solution to poor reproducibility in science NOT the solution</p> <p>RRs: incentivise discrimination of exploratory and confirmatory research for accurate interpretation of results</p> <p>RRs: reduce publication bias of null results by (1) ensuring that any null results are informatively null (achieved through appropriate study design and adequate statistical power), and (2) by providing IPA before the results are obtained (reducing the pressure to â€œchaseâ€ significance, and removing the implicit temptation by reviewers to judge manuscripts based on the findings reported).</p>","Munafo, Marcus R.; Strain, Eric","include; announcement_RRs; note"
"<p>pre-evaluation [of RRs] has two main advantages: 1. It provides useful feedback to authors before they start performing the experiments. In that way, the project can be greatly improved. This ultimately saves time and money. I would personally enjoy feedback from peers at very early stages of a project, as one cannot always see potential caveats, or better ways to demonstrate what we want to show. External advice is always important. 2. It guarantees publication, again saving time, as the study is already provisionally accepted.</p> <p>Â </p> <p>From personal experience, I know that it is sometimes impossible to predict how a project will exactly evolve in time. This is the nature of science. However, in some instances, the experimental plan can be straightforward, like for preclinical studies. Therefore, we will first limit Registered Reports to preclinical studies designed to test the effect of a treatment. However, if you think that your nonclinical experimental plan will not deviate over time, you can contact me about it, I would be happy to consider any type of study in the Registered Report category.</p>","Bernard, Christophe","include; announcement_RRs; note"
"<p>RR has advantages for researchers, particularly those at the start of their careers, who can benefit from critical input at the formulation stage of the work and be assured of inâ€principle publication, driven by the quality and importance of the research, rather than the outcome. The process of registration and the necessary steps are set out in detail on the ACP website: www.wileyonlinelibrary.com/journal/acp. The aim of including RRs, alongside traditional papers, is to improve the replicability and representativeness of findings, while still encouraging the exploratory research, which has been the traditional content of our journal.</p>","Davies, Graham M.; Granhag, Par-Anders","include; announcement_RRs; note"
"<p>the project is using the Registered Report/Replication Study approach to publish its work and results... This approach has two main benefits: first, it improves the experimental designs and protocols with expert input prior to performing the experiments; second, by removing the possibility that the results of the experiments will influence the peer review process, it avoids certain biases (such as the bias against negative results, and the possibility that referees will accept results that are favorable to their point of view and reject results that are not; Chambers, 2013; Nosek and Lakens, 2014). Cumulatively, these safeguards maximize rigor, but they do not eliminate the possibility of error</p>","Nosek, Brian A.; Errington, Timothy M.","include; registered-reports; note"
"<p>An interesting new development (with old roots [De Groot, A.D. The meaning of â€œsignificanceâ€ for different types of research [translated and annotated by Eric-Jan Wagenmakers, Denny Borsboom, Josine Verhagen, Rogier Kievit, Marjan Bakker, Angelique Cramer, Dora Matzke, Don Mellenbergh, and Han L. J. van der Maas]. Acta Psychol. 2014, 148, 188â€“194. [CrossRef] [PubMed]]) is the registered report [101]. In this publishing format, the review concerns the registration rather than the final research article, allowing reviewers to catch potential errors and oversights in the formulation of the hypotheses as well as to make recommendations to improve the design at precisely the right moment.Â  If the data collection goes according to plan, the article is published regardless of whether the results are positive or not. Hence, registered reports focus on the a priori methodological and substantive quality of the study rather than on the niceness of the results. Hence registered reports also help counter publication bias. Although traditional grant review also involves peer review of research plans, plans in grant proposals are often not sufficiently detailed to reveal biases during the actual research process and in the later (non-) publication of results. Therefore, it would be much more efficient to use registered reports in a format in which the grant review and publication decisions are combined and focused on the specific registration of a study [102].</p>","Wicherts, Jelte M.","psychology; replicability; reproducibility; confirmation bias; publication bias; meta-research; p-values; include; recommendations; registered-reports; clinical-trials; note; citation bias; consort   statement; questionable research   practices; randomized controlled-trials; validity"
"; <p>For example, another step for increasing rigor that is highlighted in other articles within this special issue (Baldwin, 2017; Cohen, 2017) is the need for increased publication ofÂ  registered reports, which require reporting of sample size calculations in the initial submission. It continues to seemthat journals implicitly require results that are statistically significant in order to be accepted for publication, but this trend of only publishing significant findings is decreasing with the advent of registered reports. Therefore, the combination of registering a study in addition to reporting a priori sample size calculations may reduce the probability of obtaining false findings. However, no primary electrophysiology/psychophysiology journals had introduced registered reports at the time of this writing (for a listing of journals that include registered reports please see https://osf.io/8mpji/wiki/home/). That said, the International Journal of Psychophysiology (journal of this special issue) now includes a submission option for registered reports (as of April 2016). We are hopeful that other journals will also implement submissions of registered reports and that authorswill take advantage of the opportunity for review of their study design and sample size calculations prior to beginning data collection to avoid bias and error associated with small or biased sample</p> <p>Â </p> <p>We encourage editorial boards to discuss what steps they can take (e.g., encouraging sample size calculations, registered reports, or replication studies) to help improve scientific research (Luck and Gaspelin, in press). The International Journal of Psychophysiology, along with other journals such as Cortex, is working toward increasing rigor in this manner (for Editorial please see Larson, 2016).</p> <p>Â </p> <p>We are hopeful that increased attention to sample size and sample size calculations, more implementation and utilization of registered reports, and the consistent acceptance and inclusion of paperswith paragraphs detailing their sample size conclusions and statistics for future researchers will improve sample sizes and sample size reporting in the field.</p>","Larson, Michael J.; Carbine, Kaylie A.","empirical_SR; include; power_calculation_prev; recommendations; note"
"<p>A final improvement that could be made to future SFP 10-14 evaluations would be to publish papers that contain results of a priori hypothesis testing in the form of a registered report (Chambers, Feredoes, Muthukumaraswamy, &amp; Etchells, 2014).</p>","Gorman, Dennis M.","Selective reporting; Replication; include; note; cultural-adaptation; Decline effect; Family-based prevention; Flexible data   analysis; implementation quality; initiation outcomes; misuse; past base-line; prosper; protective shield; randomized   controlled-trial; Substance use; universal preventive intervention; use outcomes"
"<p>One way to facilitate the publication of null findings is with â€œregisteredâ€ reports (Center for Open Science, 2015a). These studies are pre-approved for publication on the basis of their research designs regardless of their findings. This last quality is key, as it minimizes publication risk for scholars, and dramatically reduces the value of manipulating data, fabricating results, and unreported HARKing. Further, reviewer advice regarding the proposed study is provided at the most opportune moment (i.e. prior to data collection), avoiding the waste of producing research with illogical theory or fundamental design flaws</p> <p>In Management, the Journal of Business and Psychology is trialing a parallel submission scheme based on the Registered Reports model (â€œJBP Provisional Acceptance Special Initiative resource site,â€ 2015), and recently published special issues full of null results (Landis, James, Lance, Pierce, &amp; Rogelberg, 2014; Landis &amp; Rogelberg, 2013). While this initiative enabling the publication of null findings is very welcome, it is currently the exception that proves the rule.</p> <p>Â </p>","Byington, Eliza K.; Felps, Will","psychology; replication; publication bias; communication; cooperation; include; consequences; note; organizational sciences; scientific literature; social dilemmas; strategic management"
"<p>Registered Reports offers a mechanism to achieve the benefits of preregistration combined with researchersâ€™ key incentive: publication.</p> <p>Â </p> <p>In Registered Reports, preregistration is a natural step in the review process, and reviewers can prospectively inform the research design rather than just pointing out what was done wrong after the study is complete. In addition to increasing the robustness of the observed research results by providing feedback on the preregistered study plans, Registered Reports address possible prejudice against null results by making initial decisions for publication prior to knowing the results of the research (Nosek &amp; Lakens, 2014).</p>","Cook, Bryan G.; Lloyd, John Wills; Mellor, David; Nosek, Brian A.; Therrien, William J.","replicability; replication; publication bias; incentives; registered reports; intervention; include; note; file   drawer; instruction; learning-disabilities; null"
"<p>Preregistration also allows researchers to change their research plans (e.g., if one learns about a better statistical analysis), as long as these changes are well motivated and transparently communicated. This is true even for registered reportsâ€”a publication format in which peer review of planned studies occurs before the research is conducted, and potential acceptance for publication does not depend on study outcomes (Chambers, 2013; Nosek &amp; Lakens, 2014; vanâ€™t, Veer, &amp; Giner-Sorolla, 2016)â€”in open and honest dialogue with the editors and reviewers.</p> <p>Â </p> <p>when researchers encounter unexpected setbacks or, for that matter, opportunities (e.g., testing conditions are different from what was anticipated or change during testing), they can take notes of decisions they have to make â€œon the fly,â€ as many already do, and report these decisions in manuscripts or supplemental materials. It is of paramount importance that such transparency in planning and reporting is then rewarded by editors and reviewers, grant panels, and hiring committees.These evaluators must be sensitive to the myriad challenges faced by researchers working in hard-to-control settings. If they are not, the new practices could crucially disadvantage these valuable areas of psychological science. This problem is not entirely new, of course. In the present discourse, too, cross-cultural or field researchers face special challenges in the review process (e.g., inevitably working with small sample sizes, replication studies taking 4 years instead of 4 weeks). If, however, evaluators are appropriately sensitive to these challenges and reward efforts to deal with them soundly, transparent planning and reporting can benefit cross-cultural or field research just as it does experimental research, and for the same reasons.</p> <p>Â </p> <p>Journals are refocusing their priorities on the quality of research rather than its outcomes (Chambers, 2017); for instance, an increasing number of journals publish registered reports (for an up-to-date list, see https:// osf.io/8mpji/wiki/home/). This focus on quality liberates researchers from craving â€œpositiveâ€ results (e.g., a significant p value) for the purpose of being published.</p> <p>Â </p> <p>If registered reports or preprints allow us to improve before we conduct to our studies, why would we stick to suboptimal research designs if colleagues provide useful feedback?</p> <p>Â </p> <p>The Cochrane Collaboration provides the opportunity for protocols to be peer-reviewed before data extraction (see http:// methods.cochrane.org/pma/welcome), the equivalent to a registered report for an empirical study.</p>","Frankenhuis, Willem E.; Nettle, Daniel","replicability; reproducibility; preregistration; replication; open science; creativity; doubt; uncertainty; competition; include; registered-reports; knowledge; information; note; psychological science; scientific utopia; standard"
"<p>""The terms registration (Dickersin, 2003) and preregistration (Nosek et al., 2018) are used inconsistently, and the intended distinction between the two terms is largely unknown. The Registered Reports initiative can further muddy the terminology (Chambers, 2013).""</p> <p>description of RR process</p> <p>""Although Registered Report and study registration do not refer to exactly the same concept, they are sometimes confused. For example...""</p> <p>Â </p>","Rice, Danielle B.; Moher, David","preregistration; include; note; history_registration; trial_registration"
"<p>journals are adopting the Registered Reports publishing format52,53 to encourage pre-registration and add results-blind peer review (see Box 3).</p> <p>There are promising examples of effective interventions for nudging incentives. For example, journals are adopting badges to acknowledge open practices (Fig. 2), Registered Reports as a results-blind publishing model (see Box 3) and TOP guidelines to promote openness and transparency.</p> <p>Box 3. The Registered Reports (RR) initiative seeks to eliminate various forms of bias in hypothesis-driven research52,53, and in particular,the evaluation of a study based on the results. By accepting articles before results are known, RRs prevent publication bias. By reviewing the hypotheses and analysis plans in advance, RRs should also help neutralize P-hacking and HARKing (hypothesizing after the results are known) by authors, and CARKing (critiquing after the results are known) by reviewers with their own investments in the research outcomes, although empirical evidence will be required to confirm that this is the case.Perhaps the most commonly voiced objection to RRs is that the format somehow limits exploration or creativity by requiring authors to adhere to a pre-specified methodology. However, RRs place no restrictions on creative analysis practices or serendipity. Authors are free to report the outcomes of any unregistered exploratory analyses, provided such tests are clearly labelled as post hoc. Thus, the sole requirement is that exploratory outcomes are identified transparently as exploratory (for a list of frequently asked questions see https://cos.io/rr/#faq). Of course, RRs are not intended for research that is solely exploratory.The concept also opens the door to alternative forms of research funding that place a premium on transparency and reproducibility. For example, authors could submit a detailed proposal before they have funding for their research. Following simultaneous review by both the funder and the journal, the strongest proposals would be offered financial support by the funder and in-principle acceptance for publication by the journal (https://cos.io/rr/#funders).</p> <p>Table 1. Registered reports (estimated extent of current adoption &lt; 5%). Stakeholders = journals, institutions, funders</p>","Munafo, Marcus R.; Nosek, Brian A.; Bishop, Dorothy V. M.; Button, Katherine S.; Chambers, Christopher D.; du Sert, Nathalie Percie; Simonsohn, Uri; Wagenmakers, Eric-Jan; Ware, Jennifer J.; Ioannidis, John P. A.","include; note; funder_rr_partnerships"
"<p>We also aim to further increase the diversity of publication formats. EJP is open to all sorts of empirical and nonempirical contributions that will move the field forward, including original empirical studies, comprehensive metaanalyses, preregistered replications of previous relevant findings, and papers that present a relevant conceptual or methodological innovation. In addition to these, and continuing our adoption of open science practices, we will include Registered Reports (RRs) as a regular publication format.</p> <p>Â </p> <p>RRs offer an elegant and straightforward way to increase the representativeness, trustworthiness, and robustness of our fieldâ€™s findings. They also come along with a number of advantages for authors, including in-depth conceptual and methodological feedback before the start of data assessment (i.e., feedback that can indeed be considered without having to start anew) and a much faster and result-independent security regarding the publication of oneâ€™s research. The concrete guidelines for submitting RRs at EJP will be fleshed out in the very near future, but authors who are potentially interested in submitting an RR are encouraged to contact me any time. I am also happy to discuss further creative formats that can help promote personality science. For example, meta-scientific comments or even more dynamic meta-scientific discussions that are highly relevant to the field might be prepared and submitted as nonempirical papers.</p>","Back, Mitja D.","include; registered-reports; note"
"<p style=""text-align: left;"">Journal mechanisms such as Registered Reports that review methodology and accept articles in principle before data collection have now been adopted at scores of outlets (https://cos.io/rr),</p> <p style=""text-align: left;"">Registered Report formats at journals (Chambers, 2013; Nosek &amp; Lakens, 2014) promise to increase the true positive rate for small studies</p>","Uhlmann, Eric Luis; Ebersole, Charles R.; Chartier, Sage Christopher R.; Errington, Timothy M.; Kidwell, Mallory C.; Lai, Calvin K.; McCarthy, Randy J.; Riegelman, Amy; Silberzahn, Raphael; Nosek, Brian A.","replicability; reproducibility; power; replication; methodology; reliability; collaboration; crowdsourcing; metascience; teams; impact factor; include; registered-reports; quality; social-psychology; note; validity"
"<p>We hope this [RRs] is the right way forward to prevent unethical methods from effect harking to outright fraud</p>","van Dick, Rolf","include; note"
"<p>RRs focus the power of peer review on the quality and rigour of experimental design, rather than assessing which manuscripts to publish based on whether results are deemed novel or groundbreaking.</p> <p>RR mechanism prevents publication bias while also minimising potential influences of selective reporting, HARKing and low statistical power. By making the outcomes of hypothesis tests irrelevant in reaching editorial decisions, RRs minimise the incentive for authors to engage in QRPs in the first place.</p> <p>Not including the time taken for authors to implement revisions, Stage 1 has taken approximately 8-10 weeks to move from initial review to in-principle acceptance (including, so far, 1-3 rounds of review). Stage 2 review has so far required approximately 4 weeks for a final editorial decision.</p> <p>The applicability of Registered Reports to different sub-fields within neuropsychology and cognitive neuroscience remains to be established; for instance, studies that rely exclusively on exploration rather than deductive hypothesis testing may not be compatible.</p> <p>Registered Reports present no threat to exploratory analyses authors are welcome to report the outcomes of the unregistered analyses. Pre-registration simply allows readers to distinguish the outcomes based on a priori hypothesis testing from post hoc exploration.</p> <p>With the continuing support of the scientific community, we believe this format opens the door to a new kind of science, a new incentive structure, and, in our view, a more sustainable and reproducible knowledge base.</p>","Chambers, Christopher D.; Dienes, Zoltan; McIntosh, Robert D.; Rotshtein, Pia; Willmes, Klaus","statistical power; include; truth; psychological-research; note"
"<p>The benefit to science at large is that the Registered Report is evaluated based on its intrinsic merits related solely to scientific contribution and methodology rather than the results found. Thus, it neutralizes a number of dubious research practices related to selective reporting of results, undisclosed analytic flexibility, weak statistical power and publication bias</p> <p>benefits submitting authors b/cÂ  research is evaluated solely on the quality of their ideas rather than the outcome of their results. RRs should provide researchers with â€˜peace of mindâ€™ when conducting and awaiting the outcome of a research project as the research has been previously endorsed as worthy of investigation by a panel of peers regardless of the eventual outcome. Alternatively, the RR process explain to authors why the research question or design is not worth publication which may allay investment of significant time and energy into a project that may eventually be rejected. Such feedback may assist the researcher in further the project</p> <p>Since RRs will be identified as RRsÂ  readers can be confident that these results accurately and comprehensively reflect the original research questions, hypotheses, methodology and analyses and readers will know which analyses were post hoc</p>","Probst, Tahira M.; Hagger, Martin S.","include; note"
