"author","title","year","evidence_type","comments","manual_tags","citekey","evidence_pro","evidence_con","opinion_pro","opinion_con_buts"
"Benning, Stephen D.; Bachrach, Rachel L.; Smith, Edward A.; Freeman, Andrew J.; Wright, Aidan G. C.","The Registration Continuum in Clinical Science: A Guide Toward Transparent Practices","2019",NA,NA,"preregistration; transparency; credibility; disorders; include; registered-reports; psychopathology; note; coregistration; flexibility; framework; postregistration; symptoms","benning2019",NA,NA,NA,NA
"Bernard, Christophe","Editorial: Introducing Registered Reports","2018",NA,NA,"include; announcement_RRs; note","bernard2018",NA,NA,NA,NA
"Bernard, Christophe","Editorial: Introducing Registered Reports","2018",NA,NA,"include; announcement_RRs; note","bernard2018",NA,NA,NA,NA
"Bernard, Christophe","Editorial: Introducing Registered Reports","2018",NA,NA,"include; announcement_RRs; note","bernard2018",NA,NA,NA,NA
"Bernard, Christophe","Editorial: Introducing Registered Reports","2018",NA,NA,"include; announcement_RRs; note","bernard2018",NA,NA,NA,NA
"Bowman, Nicholas David; Keene, Justin Robert","A Layered Framework for Considering Open Science Practices","2018",NA,NA,"Transparency; Open Science; include; note; Preregistered Reports; Research Ethics","bowman2018",NA,NA,NA,NA
"Bowman, Nicholas David; Keene, Justin Robert","A Layered Framework for Considering Open Science Practices","2018",NA,NA,"Transparency; Open Science; include; note; Preregistered Reports; Research Ethics","bowman2018",NA,NA,NA,NA
"Bowman, Nicholas David; Keene, Justin Robert","A Layered Framework for Considering Open Science Practices","2018",NA,NA,"Transparency; Open Science; include; note; Preregistered Reports; Research Ethics","bowman2018",NA,NA,NA,NA
"Bowman, Nicholas David; Keene, Justin Robert","A Layered Framework for Considering Open Science Practices","2018",NA,NA,"Transparency; Open Science; include; note; Preregistered Reports; Research Ethics","bowman2018",NA,NA,NA,NA
"Bowman, Nicholas David; Keene, Justin Robert","A Layered Framework for Considering Open Science Practices","2018",NA,NA,"Transparency; Open Science; include; note; Preregistered Reports; Research Ethics","bowman2018",NA,NA,NA,NA
"Bowman, Nicholas David; Keene, Justin Robert","A Layered Framework for Considering Open Science Practices","2018",NA,NA,"Transparency; Open Science; include; note; Preregistered Reports; Research Ethics","bowman2018",NA,NA,NA,NA
"Bowman, Nicholas David; Keene, Justin Robert","A Layered Framework for Considering Open Science Practices","2018",NA,NA,"Transparency; Open Science; include; note; Preregistered Reports; Research Ethics","bowman2018",NA,NA,NA,NA
"Bowman, Nicholas David; Keene, Justin Robert","A Layered Framework for Considering Open Science Practices","2018",NA,NA,"Transparency; Open Science; include; note; Preregistered Reports; Research Ethics","bowman2018",NA,NA,NA,NA
"Bowman, Nicholas David; Keene, Justin Robert","A Layered Framework for Considering Open Science Practices","2018",NA,NA,"Transparency; Open Science; include; note; Preregistered Reports; Research Ethics","bowman2018",NA,NA,NA,NA
"Bowman, Nicholas David; Keene, Justin Robert","A Layered Framework for Considering Open Science Practices","2018",NA,NA,"Transparency; Open Science; include; note; Preregistered Reports; Research Ethics","bowman2018",NA,NA,NA,NA
"Bowman, Nicholas David; Keene, Justin Robert","A Layered Framework for Considering Open Science Practices","2018",NA,NA,"Transparency; Open Science; include; note; Preregistered Reports; Research Ethics","bowman2018",NA,NA,NA,NA
"Bowman, Nicholas David; Keene, Justin Robert","A Layered Framework for Considering Open Science Practices","2018",NA,NA,"Transparency; Open Science; include; note; Preregistered Reports; Research Ethics","bowman2018",NA,NA,NA,NA
"Bowman, Nicholas David; Keene, Justin Robert","A Layered Framework for Considering Open Science Practices","2018",NA,NA,"Transparency; Open Science; include; note; Preregistered Reports; Research Ethics","bowman2018",NA,NA,NA,NA
"Bowman, Nicholas David; Keene, Justin Robert","A Layered Framework for Considering Open Science Practices","2018",NA,NA,"Transparency; Open Science; include; note; Preregistered Reports; Research Ethics","bowman2018",NA,NA,NA,NA
"Bowman, Nicholas David; Keene, Justin Robert","A Layered Framework for Considering Open Science Practices","2018",NA,NA,"Transparency; Open Science; include; note; Preregistered Reports; Research Ethics","bowman2018",NA,NA,NA,NA
"Bowman, Nicholas David; Keene, Justin Robert","A Layered Framework for Considering Open Science Practices","2018",NA,NA,"Transparency; Open Science; include; note; Preregistered Reports; Research Ethics","bowman2018",NA,NA,NA,NA
"Bowman, Nicholas David; Keene, Justin Robert","A Layered Framework for Considering Open Science Practices","2018",NA,NA,"Transparency; Open Science; include; note; Preregistered Reports; Research Ethics","bowman2018",NA,NA,NA,NA
"Bowman, Nicholas David; Keene, Justin Robert","A Layered Framework for Considering Open Science Practices","2018",NA,NA,"Transparency; Open Science; include; note; Preregistered Reports; Research Ethics","bowman2018",NA,NA,NA,NA
"Byington, Eliza K.; Felps, Will","Solutions to the Credibility Crisis in Management Science","2017",NA,NA,"psychology; replication; pub bias; communication; cooperation; include; consequences; note; organizational sciences; scientific literature; social dilemmas; strategic management","byington2017",NA,NA,NA,NA
"Byington, Eliza K.; Felps, Will","Solutions to the Credibility Crisis in Management Science","2017",NA,NA,"psychology; replication; pub bias; communication; cooperation; include; consequences; note; organizational sciences; scientific literature; social dilemmas; strategic management","byington2017",NA,NA,NA,NA
"Byington, Eliza K.; Felps, Will","Solutions to the Credibility Crisis in Management Science","2017",NA,NA,"psychology; replication; pub bias; communication; cooperation; include; consequences; note; organizational sciences; scientific literature; social dilemmas; strategic management","byington2017",NA,NA,NA,NA
"Byington, Eliza K.; Felps, Will","Solutions to the Credibility Crisis in Management Science","2017",NA,NA,"psychology; replication; pub bias; communication; cooperation; include; consequences; note; organizational sciences; scientific literature; social dilemmas; strategic management","byington2017",NA,NA,NA,NA
"Chambers, Christopher D.","Registered Reports: A new publishing initiative at Cortex","2013",NA,NA,"incentives; include; truth; prevalence; note","chambers2013",NA,NA,NA,NA
"Chambers, Christopher D.","Registered Reports: A new publishing initiative at Cortex","2013",NA,NA,"incentives; include; truth; prevalence; note","chambers2013",NA,NA,NA,NA
"Chambers, Christopher D.","Registered Reports: A new publishing initiative at Cortex","2013",NA,NA,"incentives; include; truth; prevalence; note","chambers2013",NA,NA,NA,NA
"Chambers, Christopher D.","Registered Reports: A new publishing initiative at Cortex","2013",NA,NA,"incentives; include; truth; prevalence; note","chambers2013",NA,NA,NA,NA
"Chambers, Christopher D.","Registered Reports: A new publishing initiative at Cortex","2013",NA,NA,"incentives; include; truth; prevalence; note","chambers2013",NA,NA,NA,NA
"Chambers, Christopher D.","Registered Reports: A new publishing initiative at Cortex","2013",NA,NA,"incentives; include; truth; prevalence; note","chambers2013",NA,NA,NA,NA
"Chambers, Christopher D.","Registered Reports: A new publishing initiative at Cortex","2013",NA,NA,"incentives; include; truth; prevalence; note","chambers2013",NA,NA,NA,NA
"Chambers, Christopher D.","Registered Reports: A new publishing initiative at Cortex","2013",NA,NA,"incentives; include; truth; prevalence; note","chambers2013",NA,NA,NA,NA
"Chambers, Christopher D.","Registered Reports: A new publishing initiative at Cortex","2013",NA,NA,"incentives; include; truth; prevalence; note","chambers2013",NA,NA,NA,NA
"Chambers, Christopher D.","Registered Reports: A new publishing initiative at Cortex","2013",NA,NA,"incentives; include; truth; prevalence; note","chambers2013",NA,NA,NA,NA
"Chambers, Christopher D.","Registered Reports: A new publishing initiative at Cortex","2013",NA,NA,"incentives; include; truth; prevalence; note","chambers2013",NA,NA,NA,NA
"Chambers, Christopher D.","Registered Reports: A new publishing initiative at Cortex","2013",NA,NA,"incentives; include; truth; prevalence; note","chambers2013",NA,NA,NA,NA
"Chambers, Christopher D.","Registered Reports: A new publishing initiative at Cortex","2013",NA,NA,"incentives; include; truth; prevalence; note","chambers2013",NA,NA,NA,NA
"Chambers, Christopher D.","Registered Reports: A new publishing initiative at Cortex","2013",NA,NA,"incentives; include; truth; prevalence; note","chambers2013",NA,NA,NA,NA
"Chambers, Christopher D.","Registered Reports: A new publishing initiative at Cortex","2013",NA,NA,"incentives; include; truth; prevalence; note","chambers2013",NA,NA,NA,NA
"Chambers, Christopher D.","Registered Reports: A new publishing initiative at Cortex","2013",NA,NA,"incentives; include; truth; prevalence; note","chambers2013",NA,NA,NA,NA
"Chambers, Christopher D.","Registered Reports: A new publishing initiative at Cortex","2013",NA,NA,"incentives; include; truth; prevalence; note","chambers2013",NA,NA,NA,NA
"Chambers, Christopher D.","Registered Reports: A new publishing initiative at Cortex","2013",NA,NA,"incentives; include; truth; prevalence; note","chambers2013",NA,NA,NA,NA
"Chambers, Christopher D.","TEN REASONS WHY JOURNALS MUST REVIEW MANUSCRIPTS BEFORE RESULTS ARE KNOWN","2015",NA,NA,"reproducibility; pub bias; incentives; False positives; questionable research practices; registered reports; include; registered-reports; truth; note; study pre-registration","chambers2015",NA,NA,NA,NA
"Chambers, Christopher D.","TEN REASONS WHY JOURNALS MUST REVIEW MANUSCRIPTS BEFORE RESULTS ARE KNOWN","2015",NA,NA,"reproducibility; pub bias; incentives; False positives; questionable research practices; registered reports; include; registered-reports; truth; note; study pre-registration","chambers2015",NA,NA,NA,NA
"Chambers, Christopher D.","TEN REASONS WHY JOURNALS MUST REVIEW MANUSCRIPTS BEFORE RESULTS ARE KNOWN","2015",NA,NA,"reproducibility; pub bias; incentives; False positives; questionable research practices; registered reports; include; registered-reports; truth; note; study pre-registration","chambers2015",NA,NA,NA,NA
"Chambers, Christopher D.","TEN REASONS WHY JOURNALS MUST REVIEW MANUSCRIPTS BEFORE RESULTS ARE KNOWN","2015",NA,NA,"reproducibility; pub bias; incentives; False positives; questionable research practices; registered reports; include; registered-reports; truth; note; study pre-registration","chambers2015",NA,NA,NA,NA
"Chambers, Christopher D.","TEN REASONS WHY JOURNALS MUST REVIEW MANUSCRIPTS BEFORE RESULTS ARE KNOWN","2015",NA,NA,"reproducibility; pub bias; incentives; False positives; questionable research practices; registered reports; include; registered-reports; truth; note; study pre-registration","chambers2015",NA,NA,NA,NA
"Chambers, Christopher D.","TEN REASONS WHY JOURNALS MUST REVIEW MANUSCRIPTS BEFORE RESULTS ARE KNOWN","2015",NA,NA,"reproducibility; pub bias; incentives; False positives; questionable research practices; registered reports; include; registered-reports; truth; note; study pre-registration","chambers2015",NA,NA,NA,NA
"Chambers, Christopher D.","TEN REASONS WHY JOURNALS MUST REVIEW MANUSCRIPTS BEFORE RESULTS ARE KNOWN","2015",NA,NA,"reproducibility; pub bias; incentives; False positives; questionable research practices; registered reports; include; registered-reports; truth; note; study pre-registration","chambers2015",NA,NA,NA,NA
"Chambers, Christopher D.","TEN REASONS WHY JOURNALS MUST REVIEW MANUSCRIPTS BEFORE RESULTS ARE KNOWN","2015",NA,NA,"reproducibility; pub bias; incentives; False positives; questionable research practices; registered reports; include; registered-reports; truth; note; study pre-registration","chambers2015",NA,NA,NA,NA
"Chambers, Christopher D.","TEN REASONS WHY JOURNALS MUST REVIEW MANUSCRIPTS BEFORE RESULTS ARE KNOWN","2015",NA,NA,"reproducibility; pub bias; incentives; False positives; questionable research practices; registered reports; include; registered-reports; truth; note; study pre-registration","chambers2015",NA,NA,NA,NA
"Chambers, Christopher D.","TEN REASONS WHY JOURNALS MUST REVIEW MANUSCRIPTS BEFORE RESULTS ARE KNOWN","2015",NA,NA,"reproducibility; pub bias; incentives; False positives; questionable research practices; registered reports; include; registered-reports; truth; note; study pre-registration","chambers2015",NA,NA,NA,NA
"Chambers, Christopher D.","TEN REASONS WHY JOURNALS MUST REVIEW MANUSCRIPTS BEFORE RESULTS ARE KNOWN","2015",NA,NA,"reproducibility; pub bias; incentives; False positives; questionable research practices; registered reports; include; registered-reports; truth; note; study pre-registration","chambers2015",NA,NA,NA,NA
"Chambers, Christopher D.","TEN REASONS WHY JOURNALS MUST REVIEW MANUSCRIPTS BEFORE RESULTS ARE KNOWN","2015",NA,NA,"reproducibility; pub bias; incentives; False positives; questionable research practices; registered reports; include; registered-reports; truth; note; study pre-registration","chambers2015",NA,NA,NA,NA
"Chambers, Christopher D.","TEN REASONS WHY JOURNALS MUST REVIEW MANUSCRIPTS BEFORE RESULTS ARE KNOWN","2015",NA,NA,"reproducibility; pub bias; incentives; False positives; questionable research practices; registered reports; include; registered-reports; truth; note; study pre-registration","chambers2015",NA,NA,NA,NA
"Chambers, Christopher D.","TEN REASONS WHY JOURNALS MUST REVIEW MANUSCRIPTS BEFORE RESULTS ARE KNOWN","2015",NA,NA,"reproducibility; pub bias; incentives; False positives; questionable research practices; registered reports; include; registered-reports; truth; note; study pre-registration","chambers2015",NA,NA,NA,NA
"Chambers, Christopher D.","TEN REASONS WHY JOURNALS MUST REVIEW MANUSCRIPTS BEFORE RESULTS ARE KNOWN","2015",NA,NA,"reproducibility; pub bias; incentives; False positives; questionable research practices; registered reports; include; registered-reports; truth; note; study pre-registration","chambers2015",NA,NA,NA,NA
"Chambers, Christopher D.","TEN REASONS WHY JOURNALS MUST REVIEW MANUSCRIPTS BEFORE RESULTS ARE KNOWN","2015",NA,NA,"reproducibility; pub bias; incentives; False positives; questionable research practices; registered reports; include; registered-reports; truth; note; study pre-registration","chambers2015",NA,NA,NA,NA
"Chambers, Christopher D.","TEN REASONS WHY JOURNALS MUST REVIEW MANUSCRIPTS BEFORE RESULTS ARE KNOWN","2015",NA,NA,"reproducibility; pub bias; incentives; False positives; questionable research practices; registered reports; include; registered-reports; truth; note; study pre-registration","chambers2015",NA,NA,NA,NA
"Chambers, Christopher D.","TEN REASONS WHY JOURNALS MUST REVIEW MANUSCRIPTS BEFORE RESULTS ARE KNOWN","2015",NA,NA,"reproducibility; pub bias; incentives; False positives; questionable research practices; registered reports; include; registered-reports; truth; note; study pre-registration","chambers2015",NA,NA,NA,NA
"Chambers, Christopher D.","TEN REASONS WHY JOURNALS MUST REVIEW MANUSCRIPTS BEFORE RESULTS ARE KNOWN","2015",NA,NA,"reproducibility; pub bias; incentives; False positives; questionable research practices; registered reports; include; registered-reports; truth; note; study pre-registration","chambers2015",NA,NA,NA,NA
"Chambers, Christopher D.","TEN REASONS WHY JOURNALS MUST REVIEW MANUSCRIPTS BEFORE RESULTS ARE KNOWN","2015",NA,NA,"reproducibility; pub bias; incentives; False positives; questionable research practices; registered reports; include; registered-reports; truth; note; study pre-registration","chambers2015",NA,NA,NA,NA
"Chambers, Christopher D.; Dienes, Zoltan; McIntosh, Robert D.; Rotshtein, Pia; Willmes, Klaus","Registered Reports: Realigning incentives in scientific publishing","2015","anecdotal",NA,"statistical power; include; truth; psychological-research; note","chambers2015a","""Stage 1 has taken approximately 8-10 weeks to move from initial review to in-principle acceptance (including, so far, 1-3 rounds of review). Stage 2 review has so far required approximately 4 weeks for a final editorial decision""",NA,NA,NA
"Chambers, Christopher D.; Dienes, Zoltan; McIntosh, Robert D.; Rotshtein, Pia; Willmes, Klaus","Registered Reports: Realigning incentives in scientific publishing","2015","anecdotal",NA,"statistical power; include; truth; psychological-research; note","chambers2015a","""Stage 1 has taken approximately 8-10 weeks to move from initial review to in-principle acceptance (including, so far, 1-3 rounds of review). Stage 2 review has so far required approximately 4 weeks for a final editorial decision""",NA,NA,NA
"Chambers, Christopher D.; Dienes, Zoltan; McIntosh, Robert D.; Rotshtein, Pia; Willmes, Klaus","Registered Reports: Realigning incentives in scientific publishing","2015","anecdotal",NA,"statistical power; include; truth; psychological-research; note","chambers2015a","""Stage 1 has taken approximately 8-10 weeks to move from initial review to in-principle acceptance (including, so far, 1-3 rounds of review). Stage 2 review has so far required approximately 4 weeks for a final editorial decision""",NA,NA,NA
"Chambers, Christopher D.; Dienes, Zoltan; McIntosh, Robert D.; Rotshtein, Pia; Willmes, Klaus","Registered Reports: Realigning incentives in scientific publishing","2015","anecdotal",NA,"statistical power; include; truth; psychological-research; note","chambers2015a","""Stage 1 has taken approximately 8-10 weeks to move from initial review to in-principle acceptance (including, so far, 1-3 rounds of review). Stage 2 review has so far required approximately 4 weeks for a final editorial decision""",NA,NA,NA
"Chambers, Christopher D.; Dienes, Zoltan; McIntosh, Robert D.; Rotshtein, Pia; Willmes, Klaus","Registered Reports: Realigning incentives in scientific publishing","2015","anecdotal",NA,"statistical power; include; truth; psychological-research; note","chambers2015a","""Stage 1 has taken approximately 8-10 weeks to move from initial review to in-principle acceptance (including, so far, 1-3 rounds of review). Stage 2 review has so far required approximately 4 weeks for a final editorial decision""",NA,NA,NA
"Chambers, Christopher D.; Dienes, Zoltan; McIntosh, Robert D.; Rotshtein, Pia; Willmes, Klaus","Registered Reports: Realigning incentives in scientific publishing","2015","anecdotal",NA,"statistical power; include; truth; psychological-research; note","chambers2015a","""Stage 1 has taken approximately 8-10 weeks to move from initial review to in-principle acceptance (including, so far, 1-3 rounds of review). Stage 2 review has so far required approximately 4 weeks for a final editorial decision""",NA,NA,NA
"Chambers, Christopher D.; Dienes, Zoltan; McIntosh, Robert D.; Rotshtein, Pia; Willmes, Klaus","Registered Reports: Realigning incentives in scientific publishing","2015","anecdotal",NA,"statistical power; include; truth; psychological-research; note","chambers2015a","""Stage 1 has taken approximately 8-10 weeks to move from initial review to in-principle acceptance (including, so far, 1-3 rounds of review). Stage 2 review has so far required approximately 4 weeks for a final editorial decision""",NA,NA,NA
"Chambers, Christopher D.; Dienes, Zoltan; McIntosh, Robert D.; Rotshtein, Pia; Willmes, Klaus","Registered Reports: Realigning incentives in scientific publishing","2015","anecdotal",NA,"statistical power; include; truth; psychological-research; note","chambers2015a","""Stage 1 has taken approximately 8-10 weeks to move from initial review to in-principle acceptance (including, so far, 1-3 rounds of review). Stage 2 review has so far required approximately 4 weeks for a final editorial decision""",NA,NA,NA
"Chambers, Christopher D.; Dienes, Zoltan; McIntosh, Robert D.; Rotshtein, Pia; Willmes, Klaus","Registered Reports: Realigning incentives in scientific publishing","2015","anecdotal",NA,"statistical power; include; truth; psychological-research; note","chambers2015a","""Stage 1 has taken approximately 8-10 weeks to move from initial review to in-principle acceptance (including, so far, 1-3 rounds of review). Stage 2 review has so far required approximately 4 weeks for a final editorial decision""",NA,NA,NA
"Chambers, Christopher D.; Dienes, Zoltan; McIntosh, Robert D.; Rotshtein, Pia; Willmes, Klaus","Registered Reports: Realigning incentives in scientific publishing","2015","anecdotal",NA,"statistical power; include; truth; psychological-research; note","chambers2015a","""Stage 1 has taken approximately 8-10 weeks to move from initial review to in-principle acceptance (including, so far, 1-3 rounds of review). Stage 2 review has so far required approximately 4 weeks for a final editorial decision""",NA,NA,NA
"Chambers, Christopher D.; Dienes, Zoltan; McIntosh, Robert D.; Rotshtein, Pia; Willmes, Klaus","Registered Reports: Realigning incentives in scientific publishing","2015","anecdotal",NA,"statistical power; include; truth; psychological-research; note","chambers2015a","""Stage 1 has taken approximately 8-10 weeks to move from initial review to in-principle acceptance (including, so far, 1-3 rounds of review). Stage 2 review has so far required approximately 4 weeks for a final editorial decision""",NA,NA,NA
"Chambers, Christopher D.; Dienes, Zoltan; McIntosh, Robert D.; Rotshtein, Pia; Willmes, Klaus","Registered Reports: Realigning incentives in scientific publishing","2015","anecdotal",NA,"statistical power; include; truth; psychological-research; note","chambers2015a","""Stage 1 has taken approximately 8-10 weeks to move from initial review to in-principle acceptance (including, so far, 1-3 rounds of review). Stage 2 review has so far required approximately 4 weeks for a final editorial decision""",NA,NA,NA
"Chambers, Christopher D.; Dienes, Zoltan; McIntosh, Robert D.; Rotshtein, Pia; Willmes, Klaus","Registered Reports: Realigning incentives in scientific publishing","2015","anecdotal",NA,"statistical power; include; truth; psychological-research; note","chambers2015a",NA,NA,NA,NA
"Chambers, Christopher D.; Dienes, Zoltan; McIntosh, Robert D.; Rotshtein, Pia; Willmes, Klaus","Registered Reports: Realigning incentives in scientific publishing","2015","anecdotal",NA,"statistical power; include; truth; psychological-research; note","chambers2015a",NA,NA,NA,NA
"Chambers, Christopher D.; Dienes, Zoltan; McIntosh, Robert D.; Rotshtein, Pia; Willmes, Klaus","Registered Reports: Realigning incentives in scientific publishing","2015","anecdotal",NA,"statistical power; include; truth; psychological-research; note","chambers2015a",NA,NA,NA,NA
"Chambers, Christopher D.; Dienes, Zoltan; McIntosh, Robert D.; Rotshtein, Pia; Willmes, Klaus","Registered Reports: Realigning incentives in scientific publishing","2015","anecdotal",NA,"statistical power; include; truth; psychological-research; note","chambers2015a",NA,NA,NA,NA
"Chambers, Christopher D.; Dienes, Zoltan; McIntosh, Robert D.; Rotshtein, Pia; Willmes, Klaus","Registered Reports: Realigning incentives in scientific publishing","2015","anecdotal",NA,"statistical power; include; truth; psychological-research; note","chambers2015a",NA,NA,NA,NA
"Chambers, Christopher D.; Dienes, Zoltan; McIntosh, Robert D.; Rotshtein, Pia; Willmes, Klaus","Registered Reports: Realigning incentives in scientific publishing","2015","anecdotal",NA,"statistical power; include; truth; psychological-research; note","chambers2015a",NA,NA,NA,NA
"Chambers, Christopher D.; Dienes, Zoltan; McIntosh, Robert D.; Rotshtein, Pia; Willmes, Klaus","Registered Reports: Realigning incentives in scientific publishing","2015","anecdotal",NA,"statistical power; include; truth; psychological-research; note","chambers2015a",NA,NA,NA,NA
"Chambers, Christopher D.; Dienes, Zoltan; McIntosh, Robert D.; Rotshtein, Pia; Willmes, Klaus","Registered Reports: Realigning incentives in scientific publishing","2015","anecdotal",NA,"statistical power; include; truth; psychological-research; note","chambers2015a",NA,NA,NA,NA
"Chambers, Christopher D.; Dienes, Zoltan; McIntosh, Robert D.; Rotshtein, Pia; Willmes, Klaus","Registered Reports: Realigning incentives in scientific publishing","2015","anecdotal",NA,"statistical power; include; truth; psychological-research; note","chambers2015a",NA,NA,NA,NA
