"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"WMV68TMA","journalArticle","2015","Dessing, Joost C.; Beek, Peter J.","Human Movement Science adopts Registered Reports for hypothesis-driven research","Human Movement Science","","0167-9457","10.1016/j.humov.2015.09.011","","","2015-12","2019-10-07 21:19:59","2019-10-31 11:22:56","","A1-A2","","","44","","Hum. Mov. Sci.","","","","","","","","English","","","","","","","WOS:000365361700001","<p>RRs are particularly suitable for hypothesis-driven studies and high-impact replications. They eliminate the need for, and possibility of, engaging in many QRPS, because publication becomes fundamentally decoupled from the study outcome</p> <p>Given that this is a new publication format, it is possible that unforeseen issues may arise in the early phases of its implementation; it is thus conceivable that details of the Guidelines will change during the initial phase of the implementation.</p> <p>Registered Reports are prospected to contain high-impact empirical, hypothesis-driven studies, revered for the trustworthiness of the conclusions drawn</p> <p>culture of publication associated with Registered Reports will have some relatively minor effects on the regular review process. Authors will be required to announce which analyses are exploratory and which are<br />hypothesis-driven; exploratory studies may not be presented as hypothesis-driven. </p> <p>RRs are not meant to replace exploratory studies, which play an important role in the scientific process, as long as authors are honest about their intentions</p>","C:\Users\zn18986\Zotero\storage\VLADAHSN\Dessing and Beek - 2015 - Human Movement Science adopts Registered Reports f.pdf","","include; announcement_RRs; note","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TCHBT33M","journalArticle","2019","Dineen-Griffin, Sarah; Garcia-Cardenas, Victoria; Rogers, Kris; Williams, Kylie; Benrimoj, Shalom Isaac","Evaluation of a Collaborative Protocolized Approach by Community Pharmacists and General Medical Practitioners for an Australian Minor Ailments Scheme: Protocol for a Cluster Randomized Controlled Trial","Jmir Research Protocols","","1929-0748","10.2196/13973","","Background: Internationally, governments have been investing in supporting pharmacists to take on an expanded role to support self-care for health system efficiency. There is consistent evidence that minor ailment schemes (MASs) promote efficiencies within the health care system. The cost savings and health outcomes demonstrated in the United Kingdom and Canada open up new opportunities for pharmacists to effect sustainable changes through MAS delivery in Australia. Objective: This trial aims to evaluate the clinical, economic, and humanistic impact of an Australian Minor Ailments Service (AMAS) compared with usual pharmacy care in a cluster randomized controlled trial (cRCT) in Western Sydney, Australia. Methods: The cRCT design has an intervention group and a control group, comparing individuals receiving a structured intervention (AMAS) with those receiving usual care for specific health ailments. Participants will be community pharmacies, general practices, and patients located in Western Sydney Primary Health Network (WSPHN) region. A total of 30 community pharmacies will be randomly assigned to either intervention or control group. Each will recruit 24 patients, aged 18 years or older, presenting to the pharmacy in person with a symptom-based or product-based request for one of the following ailments: reflux, cough, common cold, headache (tension or migraine), primary dysmenorrhea, or low back pain. Intervention pharmacists will deliver protocolized care to patients using clinical treatment pathways with agreed referral points and collaborative systems boosting clinician-pharmacist communication. Patients recruited in control pharmacies will receive usual care. The coprimary outcomes are rates of appropriate recommendation of nonprescription medicines and rates of appropriate medical referral. Secondary outcomes include self-reported symptom resolution, health services resource utilization, and EuroQoL Visual Analogue Scale. Differences in primary outcomes between groups will be analyzed at the individual patient level accounting for correlation within clusters with generalized estimating equations. The economic impact of the model will be evaluated by cost-utility and cost-effectiveness analysis compared with usual care. Results: The study began in July 2018. Thirty community pharmacies were recruited. Pharmacists from the 15 intervention pharmacies were trained. A total of 27 general practices consented. Pharmacy patient recruitment began in August 2018 and was completed on March 31, 2019. Conclusions: This study may demonstrate the efficacy of a protocolized intervention to manage minor ailments in the community and will assess the clinical, economic, and humanistic impact of this intervention in Australian pharmacy practice. Pharmacists supporting patient self-care and appropriate self-medication may contribute to greater efficiency of health care resources and integration of self-care in the health system. The proposed model and developed educational content may form the basis of a national MAS service in Australia, using a robust framework for management and referral for common ailments. International Registered Report Identifier (IRRID): DERR1-10.2196/13973","2019-08","2019-10-07 21:19:59","2019-10-08 22:07:03","","e13973","","8","8","","JMIR RES. Protoc.","","","","","","","","English","","","","","","","WOS:000484378000021","","C:\Users\zn18986\Zotero\storage\EY8M67EG\Dineen-Griffin et al. - 2019 - Evaluation of a Collaborative Protocolized Approac.pdf","","randomized controlled trial; perspectives; Australia; care; community pharmacy services; general practitioners; nonprescription drugs; pharmacists; pharmacy; primary health care; safety; self   medication; self care; services; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"93LNH77S","journalArticle","2018","Donnellan, M. Brent; Lucas, Richard E.","Introduction to the special issue - A replication project in personality psychology","Journal of Research in Personality","","0092-6566","10.1016/j.jrp.2017.11.004","","","2018-02","2019-10-07 21:19:59","2019-10-28 21:00:14","","1-4","","","72","","J. Res. Pers.","","","","","","","","English","","","","","","","WOS:000424724700001","","C:\Users\zn18986\Zotero\storage\QSDHM5QU\Donnellan and Lucas - 2018 - Introduction to the special issue - A replication .pdf","","replicability; science; registered-reports; recommendations; special section; include_key_personal_XP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JA9UV729","journalArticle","2019","Draeger, Cainara Lins; Coelho de Almeida Akutsu, Rita de Cassia; Zandonadi, Renata Puppin; Rodrigues da Silva, Izabel Cristina; Assuncao Botelho, Raquel Braz; Coelho Araujo, Wilma Maria","Brazilian Foodborne Disease National Survey: Evaluating the Landscape after 11 Years of Implementation to Advance Research, Policy, and Practice in Public Health","Nutrients","","2072-6643","10.3390/nu11010040","","The poor control of public and private agencies regarding the quality of foods offered to populations has a significant impact on the occurrence of foodborne diseases. Precise information about foodborne diseases (FBD) can adequately inform policy-makers and help to allocate appropriate resources for the control of food safety. This study aimed to evaluate the Brazilian foodborne disease landscape after 11 years of implementation of the Epidemiological Surveillance System of Foodborne Diseases. The study analyzed secondary data from the National System of Injuries and Notifications (SINAN-NET), available from the Health Department. We evaluated the characteristics of FBD, such as the food involved, the location of ingestion, the total time to the outcome investigation, the microorganism involved and deaths. We also calculated the global incidence, mortality and lethality rates of the country. There were 7630 FBD outbreaks in the National Epidemiological Surveillance System of Foodborne Diseases (VE-DTA). Of the registered reports, a total of 134,046 individuals were sick with FBD; 19,394 were hospitalized, and there were 127 registered deaths. We found a coefficient of incidence of FBD of 67.57 per 100,000 inhabitants; a mortality coefficient of 0.06 per 100,000 inhabitants and lethality of 0.09% over the 11 years investigated. Data are probably underreported since the VE-DTA system lacks completeness, and because FBD symptoms are mostly mild, a large part of the population does not seek care from health services.","2019-01","2019-10-07 21:19:59","2019-10-08 22:07:16","","40","","1","11","","Nutrients","","","","","","","","English","","","","","","","WOS:000457474600015","","C:\Users\zn18986\Zotero\storage\39FXK46L\Draeger et al. - 2019 - Brazilian Foodborne Disease National Survey Evalu.pdf","","30 specified pathogens; canada; foodborne disease; health survey; illness; national survey; public health; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4VJ2FF3W","journalArticle","2015","Eaton, Kate; Yang, Wanwan","Registered report: Intestinal inflammation targets cancer-inducing activity of the microbiota","Elife","","2050-084X","10.7554/elife.04186","","The Reproducibility Project: Cancer Biology seeks to address growing concerns about reproducibility in scientific research by conducting replications of 50 papers in the field of cancer biology published between 2010 and 2012. This Registered report describes the proposed replication plan of key experiments from 'Intestinal Inflammation Targets Cancer-Inducing Activity of the Microbiota' by Arthur et al. (2012), published in Science in 2012. Arthur and colleagues identified a genotoxic island in Escherichia coli NC101 that appeared to be responsible for causing neoplastic lesions in inflammation-induced IL10(-/-) mice treated with azoxymethane. The experiments that will be replicated are those reported in Figure 4 (Arthur et al., 2012). Arthur and colleagues inoculated IL10(-/-) mice with a mutated strain of E. coli NC101 lacking the genotoxic island, and showed that those mice suffered from fewer neoplastic lesions than mice inoculated with the wild type form of E. coli NC101 (Figure 4). The Reproducibility Project: Cancer Biology is a collaboration between the Center for Open Science and Science Exchange, and the results of the replications will be published by eLife.","2015-03-17","2019-10-07 21:19:59","2019-10-08 22:06:30","","e04186","","","4","","eLife","","","","","","","","English","","","","","","","WOS:000351865600001","","C:\Users\zn18986\Zotero\storage\CR5WSH8H\Eaton and Yang - 2015 - Registered report Intestinal inflammation targets.pdf","","cells; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GA8H2CVQ","journalArticle","2018","Eaton, Kathryn; Pirani, Ali; Snitkin, Evan S.","Replication Study: Intestinal inflammation targets cancer-inducing activity of the microbiota","Elife","","2050-084X","10.7554/elife.34364","","As part of the Reproducibility Project: Cancer Biology we published a Registered Report (Eaton et al., 2015) that described how we intended to replicate selected experiments from the paper ""Intestinal Inflammation Targets Cancer-Inducing Activity of the Microbiota"" (Arthur et al., 2012). Here we report the results. We observed no impact on bacterial growth or colonization capacity when the polyketide synthase (pks) genotoxic island was deleted from E. coli NC101, similar to the original study (Supplementary Figure 7; Arthur et al., 2012). However, for the experiment that compared inflammation, invasion, and neoplasia in azoxymethane (AOM)-treated interleukin-10-deficient mice mono-associated with NC101 or NC101 Delta pks the experimental timing of the replication attempt was longer than that of the original study. This difference was because in the original study the methodology was not clearly stated and likely led to the increased mortality and severity of inflammation observed in this replication attempt. Additionally, early death occurred during AOM treatment with higher mortality observed in NC101 Delta pks mono-associated mice compared to NC101, which was in the same direction, but more severe than the original study (Suppleme1ntal Figure 10; Arthur et al., 2012). A meta-analysis suggests that mice mono-associated with NC101 Delta pks have higher mortality compared to NC101. While these data were unable to address whether, under the conditions of the original study, NC101 and NC101 Delta pks differ in inflammation, invasion, and neoplasia this replication attempt demonstrates that clear description of experimental methods is essential to ensure accurate reproduction of experimental studies.","2018-10-08","2019-10-07 21:19:59","2019-10-08 22:06:30","","e34364","","","7","","eLife","","","","","","","","English","","","","","","","WOS:000446601400001","","C:\Users\zn18986\Zotero\storage\5Q9XZCEX\Eaton et al. - 2018 - Replication Study Intestinal inflammation targets.pdf","","reproducibility; mouse; models; recommendations; discovery; mice; tumor-growth; algorithm; colon carcinogenesis; pathology; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZHJD548E","journalArticle","2017","Eberlen, Julia; Scholz, Geeske; Gagliolo, Matteo","Simulate this! An Introduction to Agent-Based Models and their Power to Improve your Research Practice","International Review of Social Psychology","","2397-8570","10.5334/irsp.115","","The method of agent-based modeling is rarely used in social psychology, but has the potential to complement and improve traditional research practices. An agent-based model (ABM) consists of a number of virtual individuals the ""agents"" interacting in an artificial, experimenter-controlled environment. In this article, we discuss several characteristics of ABMs that could prove particularly useful with respect to recent recommendations aimed at countering issues related to the current ""replication crisis"". We address the potential synergies between planning and implementing an ABM on the one hand, and the endeavor of pre-registration on the other. We introduce ABMs as tools for both the generation and the improvement of theory, testing of hypotheses, and for extending traditional experimental approaches by facilitating the investigation of social processes from the intra-individual all the way up to the societal level. We describe examples of ABMs in social psychology, including a detailed description of the CollAct model of social learning. Finally, limitations and drawbacks of agent-based modeling are discussed. In annex 1 and 2, we provide literature and tool recommendations for getting started with an ABM.","2017-07-03","2019-10-07 21:19:59","2019-10-08 22:06:50","","149-160","","1","30","","Int. Rev. Soc. Psychol.","","","","","","","","English","","","","","","","WOS:000433442400002","","C:\Users\zn18986\Zotero\storage\JNAC7ZCA\Eberlen et al. - 2017 - Simulate this! An Introduction to Agent-Based Mode.pdf","","Methodology; replicability; registered reports; Replication Crisis; social-psychology; management; recommendations; Agent-Based Models; Computational Social Sciences; odd protocol; pre-registration; Social Psychology; us; exclude_only reference to rr is description","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TAD2NBIH","journalArticle","2018","Elkins-Brown, Nathaniel; Saunders, Blair; Inzlicht, Michael","The misattribution of emotions and the error-related negativity: A registered report","Cortex","","0010-9452","10.1016/j.cortex.2018.08.017","","A growing body of work in social and affective neuroscience suggests that emotion plays an instrumental role in error monitoring processes, rather than only a moderating one. High-powered replications of studies that support this idea, however, are lacking. Here, we attempted a preregistered replication of our own study that had provided evidence for the functional role of emotions in error monitoring: that a neural signal of error monitoring-the error-related negativity-is reduced when participants undergo a misattribution of arousal procedure (Inzlicht & Al-Khindi, 2012). Like a previous replication attempt (Rodilla et al, 2016), our misattribution procedure failed to reduce the amplitude of the ERN. However, it also failed its manipulation check to reduce state anxiety, limiting the conclusions we can draw. Nonetheless, these findings are consistent with the view that our original study may have been a false positive. We discuss these findings in the context of the replication crisis in psychology and of work on the emotional properties of the ERN. (C) 2018 Elsevier Ltd. All rights reserved.","2018-12","2019-10-07 21:19:59","2019-10-28 23:01:58","","124-140","","","109","","Cortex","","","","","","","","English","","","","","","","WOS:000452945800011","<p>When considered together, the present study and replication<br />attempt cast doubt on the replicability of the original<br />study. This is for three major reasons...The third reason is that the present study was fully preregistered,<br />while our original study was not. Because all primary<br />analyses and exclusion criteria were determined before<br />data collection took place, the present study had few experimenter<br />degrees of freedom that could have inflated the rate of<br />false positives. In contrast, our original study had undisclosed<br />flexibility in statistical analyses, exclusion criteria, and the<br />content of hypotheses, increasing the chance that at least<br />some of those positive findings were false. Indeed, several<br />procedures in the original study lacked details or explicit<br />justification, giving us the opportunity to inadvertently adjust<br />data in support of our hypotheses. For example, we did not<br />justify log-transforming commission error rates before<br />correlating them with DERN amplitudes, and did not perform<br />this same transformation for error rates when they were<br />compared across groups. Inconsistent transformation procedures<br />without explicit justification are not evidence of phacking,<br />but do reveal the analytic flexibility that was available<br />to us in our statistical procedures at the time.</p>","C:\Users\zn18986\Zotero\storage\NNT8G2WC\Elkins-Brown et al. - 2018 - The misattribution of emotions and the error-relat.pdf","","Replication; reliability; false discovery rate; motivation; Anxiety; anxiety; performance; punishment; Emotion; ern; anterior cingulate; brain activity; Misattribution; responsiveness; include; note","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KTMVAL6G","journalArticle","2018","Elkins-Brown, Nathaniel; Saunders, Blair; Inzlicht, Michael","WALKING THE REPLICATION TALK: A REGISTERED REPORT ON THE MISATTRIBUTION","Psychophysiology","","0048-5772","","","","2018-12","2019-10-07 21:19:59","2019-10-09 18:56:46","","S54-S54","","","55","","Psychophysiology","","","","","","","","English","","","","","","","WOS:000453539300226","","","","Replication; ⛔ No DOI found; Emotion; ern; exclude_no doi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YJL7TEX2","journalArticle","2014","Errington, Timothy M.; Iorns, Elizabeth; Gunn, William; Tan, Fraser Elisabeth; Lomax, Joelle; Nosek, Brian A.","An open investigation of the reproducibility of cancer biology research","Elife","","2050-084X","10.7554/elife.04333","","It is widely believed that research that builds upon previously published findings has reproduced the original work. However, it is rare for researchers to perform or publish direct replications of existing results. The Reproducibility Project: Cancer Biology is an open investigation of reproducibility in preclinical cancer biology research. We have identified 50 high impact cancer biology articles published in the period 2010-2012, and plan to replicate a subset of experimental results from each article. A Registered Report detailing the proposed experimental designs and protocols for each subset of experiments will be peer reviewed and published prior to data collection. The results of these experiments will then be published in a Replication Study. The resulting open methodology and dataset will provide evidence about the reproducibility of high-impact results, and an opportunity to identify predictors of reproducibility.","2014-12-10","2019-10-07 21:19:59","2019-10-28 20:29:36","","e04333","","","3","","eLife","","","","","","","","English","","","","","","","WOS:000346170600001","<p>""publication of the [registered] Replication Study is not contingent on the results. This places the incentives for the replication team and the reviewers on maximizing the<br />quality of methodology and minimizes incentives<br />for achieving a specific result.""</p>","C:\Users\zn18986\Zotero\storage\6Y2G93BK\Errington et al. - 2014 - An open investigation of the reproducibility of ca.pdf","","replication; science; neuroscience; publication; consequences; false; psychological-research; prevention; again; availability; include; note","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FQUEH4GW","journalArticle","2018","Ertimur, Yonca; Rawson, Caleb; Rogers, Jonathan L.; Zechman, Sarah L. C.","Bridging the Gap: Evidence from Externally Hired CEOs","Journal of Accounting Research","","0021-8456","10.1111/1475-679x.12200","","We investigate executive employment gaps (hereafter, gaps) between the appointment of an external CEO at a public firm and the individual's prior executive position at a public company. These gaps cannot be reliably obtained from common databases. We hand-collect data for externally hired CEOs at public companies from 1992 to 2014. These CEOs represent approximately 40% of the 5,095 CEO successions and have a mean gap of 1.9 years. The gap increases to 3.2 years for the subset of new hires with a gap. We hypothesize that labor market frictions and executive skill sets contribute to the existence and length of these gaps. Using theories from labor economics, we predict (equilibrium) associations between two measures of fit (executive compensation and long-term match quality) and gaps (both existence and length). Finally, we provide descriptive evidence on what executives do (e.g., sit on boards, work for private consulting companies, or consume leisure) during their gaps. This project was subject to and published through a registered report process. Any tests that were not included in the accepted proposal are marked as unplanned analyses.","2018-05","2019-10-07 21:19:59","2019-10-08 22:06:52","","521-579","","2","56","","J. Account. Res.","","","","","","","","English","","","","","","","WOS:000430467200005","","C:\Users\zn18986\Zotero\storage\VT6Q6N8R\Ertimur et al. - 2018 - Bridging the Gap Evidence from Externally Hired C.pdf","","field experiment; search; CEO compensation; CEO turnover; corporate   governance; corporate governance; duration; employment gaps; executive labor   market; executive-compensation; firm; job displacement; labor-market; turnover; unemployment-insurance; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9X7XE4YB","journalArticle","2019","Essex, Anthony; Pineda, Javier; Acharya, Grishma; Xin, Hong; Evans, James; Iorns, Elizabeth; Tsui, Rachel; Denis, Alexandria; Perfito, Nicole; Errington, Timothy M.","Replication Study: Wnt activity defines colon cancer stem cells and is regulated by the microenvironment","Elife","","2050-084X","10.7554/elife.45426","","As part of the Reproducibility Project: Cancer Biology we published a Registered Report (Evans et al., 2015), that described how we intended to replicate selected experiments from the paper 'Wnt activity defines colon cancer stem cells and is regulated by the microenvironment' (Vermeulen et al., 2010). Here, we report the results. Using three independent primary spheroidal colon cancer cultures that expressed a Wnt reporter construct we observed high Wnt activity was associated with the cell surface markers CD133, CD166, and CD29, but not CD24 and CD44, while the original study found all five markers were correlated with high Wnt activity (Figure 2F; Vermeulen et al., 2010). Clonogenicity was highest in cells with high Wnt activity and clonogenic potential of cells with low Wnt activity were increased by myofibroblast-secreted factors, including HGF. While the effects were in the same direction as the original study (Figure 6D; Vermeulen et al., 2010) whether statistical significance was reached among the different conditions varied. When tested in vivo, we did not find a difference in tumorigenicity between high and low Wnt activity, while the original study found cells with high Wnt activity were more effective in inducing tumors (Figure 7E; Vermeulen et al., 2010). Tumorigenicity, however, was increased with myofibroblast-secreted factors, which was in the same direction as the original study (Figure 7E; Vermeulen et al., 2010), but not statistically significant. Finally, we report meta-analyses for each results where possible.","2019-06-19","2019-10-07 21:19:59","2019-10-08 22:06:31","","e45426","","","8","","eLife","","","","","","","","English","","","","","","","WOS:000472150000001","","C:\Users\zn18986\Zotero\storage\ZPUA9ZRZ\Essex et al. - 2019 - Replication Study Wnt activity defines colon canc.pdf","","models; batch; cd133; cd44; expression; growth; hgf; mice; populations; roles; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z5CB9PBB","bookSection","2016","Esteve-Romero, J.; Peris-Vicente, J.; Carda-Broch, S.; Ruiz-Angel, Mara-Jose; Albiol-Chiva, Jaume; Esteve-Amoros, Mar","APPLICATION OF THE GOOD LABORATORY PRACTICE TO THE CHEMISTRY LABORATORY","Inted2016: 10th International Technology, Education and Development Conference","978-84-608-5617-7","","","","The Good Laboratory Practice (GLP) is a set or rules, operating procedures and practices which indicate the best way to manage and organize the laboratory. They also provide recommendations about how the experimental protocol must be planned, carried out, monitored, registered, reported and archived. Several sets of GLP rules have been established and promulgated by several organizations, such as the pharmaceutical industry, the Organization for Economic Cooperation and Development, US Food and Drug Administration, US Environmental Protection Agency and European Union. The aim of the GLP is to ensure the reliability, integrity, consistency and quality of the experimental results produced in certain types of research or study, and to ensure the safety for the laboratory staff and the environment. The University Jaume I considers that the mastering of the GLP is essential for the chemistry students, and should be impressed from the first academic year. Thus, the correct learning and enforcement of the GLP is an important learning outcome of the first chemistry laboratory subject, and its course syllabus strongly focuses on the GLP. The paper describes the implementation of the Good Laboratory Practice at the laboratory of the ""Chemistry for Engineering"" subject (EX1006) taught at several Engineering grades at the University Jaume I.","2016","2019-10-07 21:19:59","2019-10-09 14:45:03","","5415-5419","","","","","","","","","","","Iated-Int Assoc Technology Education a& Development","Valenica","English","","","","","","","WOS:000402738405078","","","","Chemistry; Engineering; Good Laboratory Practices; Student; University; exclude_no doi","","Chova, L. G.; Martinez, A. L.; Torres, I. C.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"83N5I6HD","journalArticle","2015","Evans, Brad; Griner, Erin","Registered report: Oncometabolite 2-hydroxyglutarate is a competitive inhibitor of alpha-ketoglutarate-dependent dioxygenases","Elife","","2050-084X","10.7554/elife.07420","","The Reproducibility Project: Cancer Biology seeks to address growing concerns about reproducibility in scientific research by conducting replications of selected experiments from a number of high-profile papers in the field of cancer biology. The papers, which were published between 2010 and 2012, were selected on the basis of citations and Altmetric scores (Errington et al., 2014). This Registered report describes the proposed replication plan of key experiments from 'Oncometabolite 2-hydroxyglutarate is a competitive inhibitor of alpha-ketoglutarate-dependent dioxygenases' by Xu and colleagues, published in Cancer Cell in 2011 (Xu et al., 2011). The key experiments being replicated include Supplemental Figure 3I, which demonstrates that transfection with mutant forms of IDH1 increases levels of 2-hydroxyglutarate (2-HG), Figures 3A and 8A, which demonstrate changes in histone methylation after treatment with 2-HG, and Figures 3D and 7B, which show that mutant IDH1 can effect the same changes as treatment with excess 2-HG. The Reproducibility Project: Cancer Biology is a collaboration between the Center for Open Science and Science Exchange, and the results of the replications will be published by eLife.","2015-07-31","2019-10-07 21:19:59","2019-10-08 22:06:31","","e07420","","","4","","eLife","","","","","","","","English","","","","","","","WOS:000358922600001","","C:\Users\zn18986\Zotero\storage\PMIDXX6X\Evans and Griner - 2015 - Registered report Oncometabolite 2-hydroxyglutara.pdf","","hypermethylation; histone; idh1; mutation; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M67NCYNI","journalArticle","2015","Evans, James; Essex, Anthony; Xin, Hong; Amitai, Nurith; Brinton, Lindsey; Griner, Erin","Registered report: Wnt activity defines colon cancer stem cells and is regulated by the microenvironment","Elife","","2050-084X","10.7554/elife.07301","","The Reproducibility Project: Cancer Biology seeks to address growing concerns about reproducibility in scientific research by replicating selected results from a substantial number of high-profile papers in the field of cancer biology. The papers, which were published between 2010 and 2012, were selected on the basis of citations and Altmetric scores (Errington et al., 2014). This Registered report describes the proposed replication plan of key experiments from 'Wnt activity defines colon cancer stem cells and is regulated by the microenvironment' by Vermeulen and colleagues, published in Nature Cell Biology in 2010 (Vermeulen et al., 2010). The key experiments that will be replicated are those reported in Figures 2F, 6D, and 7E. In these experiments, Vermeulen and colleagues utilize a reporter for Wnt activity and show that colon cancer cells with high levels of Wnt activity also express cancer stem cell markers (Figure 2F; Vermeulen et al., 2010). Additionally, treatment either with conditioned medium derived from myofibroblasts or with hepatocyte growth factor restored clonogenic potential in low Wnt activity colon cancer cells in vitro (Figure 6D; Vermeulen et al., 2010) and in vivo (Figure 7E; Vermeulen et al., 2010). The Reproducibility Project: Cancer Biology is a collaboration between the Center for Open Science and Science Exchange and the results of the replications will be published in eLife.","2015-08-19","2019-10-07 21:19:59","2019-10-08 22:06:32","","e07301","","","4","","eLife","","","","","","","","English","","","","","","","WOS:000379805700001","","C:\Users\zn18986\Zotero\storage\VAMTVJM9\Evans et al. - 2015 - Registered report Wnt activity defines colon canc.pdf","","marker; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LIUKK4QJ","journalArticle","2018","Eyring, Henry; Narayanan, V. G.","Performance Effects of Setting a High Reference Point for Peer-Performance Comparison","Journal of Accounting Research","","0021-8456","10.1111/1475-679x.12199","","We conduct a field experiment, based on a registered report accepted by the Journal of Accounting Research, to test performance effects of setting a high reference point for peer-performance comparison. Relative to providing the median as a reference point for online students to compare themselves to, providing the top quartile: damps performance for those below the median, boosts performance for those between the median and top quartile, and, in the case of outcome but not process comparison, boosts performance for those above the top quartile. We do not find that either reference point yields a greater average performance effect. However, providing the more effective reference point in each partition of initial performance yields a 40% greater performance effect than providing either reference point uniformly. Students access the online courses intermittently over the span of a year. Our effects derive from small portions of our treatment groups5% in the case of process comparison and 26% in the case of outcome comparisonwho accessed treatment and who were, on average, more active leading up to and during our intervention.","2018-05","2019-10-07 21:19:59","2019-10-08 22:06:52","","581-615","","2","56","","J. Account. Res.","","","","","","","","English","","","","","","","WOS:000430467200006","","C:\Users\zn18986\Zotero\storage\W5A7QS87\Eyring and Narayanan - 2018 - Performance Effects of Setting a High Reference Po.pdf","","information; performance; ability; average; behavior; compensation; energy-conservation; expectancy-theory; goal difficulty; reference points; relative performance information; social   comparison; social norms; tournaments; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I8WUW45E","journalArticle","2016","Fiehn, Oliver; Showalter, Megan Reed; Schaner-Tooley, Christine E.","Registered report: The common feature of leukemia-associated IDH1 and IDH2 mutations is a neomorphic enzyme activity converting alpha-ketoglutarate to 2-hydroxyglutarate","Elife","","2050-084X","10.7554/elife.12626","","The Reproducibility Project: Cancer Biology seeks to address growing concerns about reproducibility in scientific research by conducting replications of selected experiments from a number of high-profile papers in the field of cancer biology. The papers, which were published between 2010 and 2012, were selected on the basis of citations and Altmetric scores (Errinton et al., 2014). This Registered Report describes the proposed replication plan of key experiments from ""The common feature of leukemia-associated IDH1 and IDH2 mutations is a neomorphic enzyme activity converting alpha-ketoglutarate to 2-hydroxyglutarate"" by Ward and colleagues, published in Cancer Cell in 2010 (Ward et al., 2010). The experiments that will be replicated are those reported in Figures 2, 3 and 5. Ward and colleagues demonstrate the mutations in isocitrate dehydrogenase 2 (IDH2), commonly found in acute myeloid leukemia (AML), abrogate the enzyme's wild-type activity and confer to the mutant neomorphic activity that produces the oncometabolite 2-hydroxyglutarate (2-HG) (Figures 2 and 3). They then show that elevated levels of 2-HG are correlated with mutations in IDH1 and IDH2 in AML patient samples (Figure 5). The Reproducibility Project: Cancer Biology is a collaboration between the Center for Open Science and Science Exchange and the results of the replications will be published by eLife.","2016-02-26","2019-10-07 21:19:59","2019-10-08 22:06:32","","e12626","","","5","","eLife","","","","","","","","English","","","","","","","WOS:000371886100001","","C:\Users\zn18986\Zotero\storage\CC9P64W3\Fiehn et al. - 2016 - Registered report The common feature of leukemia-.pdf","","isocitrate dehydrogenase mutations; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
