author,title,year,empirical_pro,empirical_con,pro_opinion,critique_responses_opintion,comments,manual_tags
"Eberlen, Julia; Scholz, Geeske; Gagliolo, Matteo",Simulate this! An Introduction to Agent-Based Models and their Power to Improve your Research Practice,2017,,,RR aims to improve the scientific process,,,Methodology; replicability; registered reports; Replication Crisis; social-psychology; management; recommendations; Agent-Based Models; Computational Social Sciences; odd protocol; pre-registration; Social Psychology; us; exclude_only reference to rr is description
"Elkins-Brown, Nathaniel; Saunders, Blair; Inzlicht, Michael",The misattribution of emotions and the error-related negativity: A registered report,2018,,,They claim their RRR study puts the replicability of the original study into doubt b/c it was preregistered & the original wasn't. Determining the primary analyses & exlcusion criteria pre-collection = study had less researcher degrees of freedom the previous = less risk of false positives.,,,Replication; reliability; false discovery rate; motivation; Anxiety; include; performance; punishment; brain activity; ern; note; anterior cingulate; anxiety; Emotion; Misattribution; responsiveness
"Errington, Timothy M.; Iorns, Elizabeth; Gunn, William; Tan, Fraser Elisabeth; Lomax, Joelle; Nosek, Brian A.",An open investigation of the reproducibility of cancer biology research,2014,,,IPA incetivses researchers & reviewers to maximise methodological quality & minimises  incentives for particular results,,,replication; science; neuroscience; publication; include; psychological-research; consequences; prevention; note; false; again; availability
"Francis, Gregory; Bachmann, Talis",Registered reports for Consciousness and Cognition,2018,,,"Encourages better practice b/c encourages more careful design, analysis & interpretation ; RRs should inctives researchers to design experis that do not capitalises/relies on chance; RRs will encourage development & reporting of rationales for design, collection, measurement & analysis = may make it the norm","Submissions may have already gathered their data BUT most researchers have integrity, more likely to use traditional formats if they have data & pre-study feedback would make existing data moot if authors need to change design; RRs not a silver bullet; RRs can contain poor science & traditional formats don't prevent excellent science",,include; announcement_RRs; note
"Frankenhuis, Willem E.; Nettle, Daniel",Open Science Is Liberating and Can Foster Creativity,2018,,,RRs indicate journals are prioritising research quality over outcomes = removes incentive to get sinficiant results to get published; unlikely to stick to traditional formats if pre-study review improves designs,"researchers can change their plan IF changes made in an open, honest dialogue with editors & reviewers. Editors & reviewers, grant panels & hriign committess must be sensitive & rewarding of efforts resarchers make to deal with challenges in 'hard-to-control' settings.(if explained transparently otherwise reforms will disadvantage certain psychology fields e.g. cross-cultural or field research",,replicability; reproducibility; preregistration; replication; open science; creativity; doubt; uncertainty; competition; include; registered-reports; knowledge; information; note; psychological science; scientific utopia; standard
"Geukes, Katharina; Schoenbrodt, Felix D.; Utesch, Till; Geukes, Sebastian; Back, Mitja D.",Ways Out of the Crisis of Confidence: Individual Steps Toward a Reliable and Open Science,2016,,,NA_foreign,,,replicability; preregistration; replication; incentives; open science; research practices; include; recommendations; registered-reports; truth; psychological-research; exercise; note; special section; crisis of confidence; sport
"Gorman, Dennis M.",The decline effect in evaluations of the impact of the Strengthening Families Program for Youth 10-14 (SFP 10-14) on adolescent substance use,2017,,,RRs would improve evaluations of SFP 10-14 [a specific research programme],,,Selective reporting; Replication; include; note; cultural-adaptation; Decline effect; Family-based prevention; Flexible data   analysis; implementation quality; initiation outcomes; misuse; past base-line; prosper; protective shield; randomized   controlled-trial; Substance use; universal preventive intervention; use outcomes
"Gorman, Dennis M.",Use of publication procedures to improve research integrity by addiction journals,2019,,,IPA & pre-study review limit analytical flexibility & selective reporting; recommends addiction journals addopt RRs or pre-reg or both b/c they lock-in hypothesse & data analyses + keep confirmatory & exploratory distinct,,,empirical; include; note; RRs
"Gorman, Dennis M.; Elkins, Amber D.; Lawley, Mark",A Systems Approach to Understanding and Improving Research Integrity,2019,,,RRs is different from standard study conduct & data analysis & is suggested to mnimise analytical flexibility & distorted reporting; IPA removes incentive to use flexible analysis to get confirmatory ('postive') results;,"The pressure for positive results puts researchers who adopt procedures that reduce their capacity to do so at a competitive disadvatage; more effortful peer review puts journals at a competative disadvantage; researchers who gained success in a 'publish or perish' culture probably won't adopt practices that'll threaten their prestigue (without external pressure); BUT RRs mean higher quality research (no selection bias & distorted reporting) BUT null results is less likely to advance researcher's careers = RRs may require ""greater effort for less reward"";  RRs will have widespred impact on data analysis & reporting in a disccipline if it become common practice & the success of this depends on the initial conditions of the discipline (inc. importance of hyothesis testing vs exploratory, # journals, prestigue of RR hournals & ability of researchers to publish in RRs journals outside their discipline if their discpilne doesn't offer RRs) = countervailing influence means RRs may be easily adopted & successful in some discplines but not others; meta-research get's limited funding = empirical evaluations of RR may take decades BUT system dynamics models could be used to assess them now",,include; note; RRs; blind_analysis; non-empirical_opinion; system_dynamics_models
"Grubb, Michael A.; Christensen, Gabriela; Albanese, John",Investigating the role of exogenous cueing on selection history formation,2019,,,Advantage of RRs = analyses planned & reviewed pre-collection,,,include; performance; voluntary; note; attention affects; contrast; Exogenous attention; reflexive; Selection history; Spatial attention; visual-attention
"Halperin, Israel; Vigotsky, Andrew D.; Foster, Carl; Pyne, David B.",Strengthening the Practice of Exercise and Sport-Science Research,2018,,,"RRs are a solution to pub bias, reduce pressure to report positive results, analysis plan limits HARKing & researcher degrees of freedom = limits p-hacking; recommends adoption of RRs in exercise & sports science",Unsuitable for some research,,psychology; replicability; replication; methodology; include; registered-reports; crisis; hypothesis; biomarkers; note; muscle protein-synthesis; null results; programs; surrogate end-points
"Islam, Sayeedul; Lahti, Ken; Chetta, Michael H.",Research Partnerships Between Academics and Consulting Firms: A Stakeholder Analysis,2018,,,Recommends journals use & promote RRs to get methodologically rigorous submissions & to allow for null results,,,include; registered-reports; note; satisfaction
"Jamieson, Randall K.; Bodner, Glen E.; Saint-Aubin, Jean; Titone, Debra",Registered Reports,2019,,,Their RR process is designed to encourage investigations of controversial topics & address replication & reproducibility issues.,,,include; announcement_RRs; note
"Kal, Elmar; Prosee, Rens; Winters, Marinus; van der Kamp, John",Does implicit motor learning lead to greater automatization of motor skills compared to explicit motor learning? A systematic review,2018,,,Recommend future studies preregister via self-archiving or RRs to improve transparency &  prevent reporting bias,,,include; registered-reports; metaanalysis; note; acquisition; analogy; attentional focus; automaticity; errorless; know-how; memory   processes; task-performance
"Larson, Michael J.; Carbine, Kaylie A.",Sample size calculations in human electrophysiology (EEG and ERP) studies: A systematic review and recommendations for increased rigor,2017,,,"The "" trend of only publishing significant findings is decreasing"" b/c of RRs ; pre-study review of design & power calculations may avoid bias/error from small/biased samples; ""We are hopeful
that other journals will also implement submissions of"" RRs; We encourage editorial boards to discuss what steps they can take (e.g., ...  registered reports) to help improve scientific research; "" We are hopeful that ... more implementation
and utilization of registered reports... will improve sample sizes
and sample size reporting in the field.""",,,empirical_SR; include; power_calculation_prev; recommendations; note
"Lee, Hopin; Lamb, Sarah E.; Bagg, Matthew K.; Toomey, Elaine; Cashin, Aidan G.; Moseley, G. Lorimer",Reproducible and replicable pain research: a critical review,2018,,,IPA = RRs are an advance of prereg & reduces selective publication; RRs don't impede exploratory research & allow confirmatory & exploratory is distinct b/c researchers can declare the nature of their work,,,empirical; include; sample-size; note; editorial_policies
"Li, Shelley Xin; Sandino, Tatiana","Effects of an Information Sharing System on Employee Creativity, Engagement, and Performance",2018, RRs contain far more replication studies than traditional formats (Open Science Collaboration list),,"The RR process meant they conducted used a rigourous method that allowed causal inferences + prereg meant hypothesis were theory based (not HARKed); ""The discipline enforced by [the RR] review
process helped us adhere to the original study design and enabled us to carry out this experiment in the face of unanticipated difficulties. We also appreciate the early feedback that we received before conducting our field experiment, which led to a higher quality and more powerful study.]",,,design; creativity; productivity; field experiments; include; selection; impact; note; authority; engagement; generation; geographically dispersed   organizations; idea; information sharing systems; integration; knowledge sharing; labor management; learning; organizations; retail chains
"Marsden, Emma; Morgan-Short, Kara; Thompson, Sophie; Abugaber, David",Replication in Second Language Research: Narrative and Systematic Reviews and Recommendations for the Field,2018,,,"RRs aim to increase & improve quality of replications; IPA incentives replication b/c guarentees publication = prev of replications in RRs unsurpirising; RRs could help resolve low publication of null replications, low # of replications & direct replications, large & unacknowledged hetogeneity btw intial & replications , associations between replication finidngs & author's interests & access to matierals, allow feedback to improve design + reduce QRPS; RRs suitable for methods that can be planned; They reommend ""Encourage journal editorial boards to consider accepting [RRs]""",RR s could be adapted to fir exploratory design e.g. Exploratory Reports,,replication; methodology; publishing; systematic review; registered reports; research design; include; crisis; attention; implicit; note; comprehension; counterfactuals; grammar; language-acquisition; processing instruction; quantitative research; second language
"McBee, Matthew T.; Makel, Matthew C.; Peters, Scott J.; Matthews, Michael S.",A Call for Open Science in Giftedness Research,2018,"""In the current peer-review process, which evaluates completed projects, it is often the case that reviewers identify major shortcomings in a study’s design or instrumentation that allow for alternative explanations of the findings. By this point it is too late to alter the flawed design because the data already have been collected. In some cases, this leads to the study being rejected for publication altogether, in which case the authors have wasted considerable time, resources, and effort. Research subjects also may have been exposed to potentially harmful (or at least nonbeneficial) interventions for nothing. In other cases, authors, having been rejected by a “flagship” journal, will resubmit the paper to a different journal that is perceived to be less selective.The paper is once more sent out for peer review, encumbering another panel of reviewers and their expertise, thus creating more work for all involved, including reviewers and editors. If the paper is eventually deemed to be publishable, it is certain that the authors will need to add extensive discussion of the study’s flaws to the “Limitations” section of the manuscript. The paper ends up contributing less value to the literature than the authors had hoped because, in the final analysis, the evidence for the study’s central claims is weak.""",,"RRs solves pub bias for flashy/significant results; RRs will help avoid flawed designs & refocuses research to importance of methods & question; IPA = removes incentives for QRPS; RRs will improve ""quality & trustworthiness of… literature""; RRs ""offers a more human process fo researchers and reviewers"" b/c reviewers & editors don't need to tell people their study was flawed & a wasted effort (plus unnecessarily exposing participants to harmful/nonbeneficial exposures + requiring researchers to write more 'Limitations') + reviewers can avoid distrusting claims b/c they suspect QRPs (which is unprovable)",Uncontrollable challenges to following protocol could complicate final acceptance; editors and reviewers working on a RR may have more work BUT this work is just on them & not distributed around other reviwers as article is resubmitted,,reproducibility; HARKing; preregistration; replication; replication crisis; p-hacking; publication bias; open materials; open data; registered reports; citations; questionable research practices (QRPs); registered report; include; note; file   drawer; open   science; psychological-science
"McEwan, Bree; Carpenter, Christopher J.; Westerman, David",On Replication in Communication Science,2018,,,Some claim RRs avoids publication bias from editors & reviewers preferring signficant results & results consistent with existing literature,,,design; Quantitative Methods; Meta-Analysis; include; note; Communication Research; Communication Science; Registered   Reports; Replications
"Munafo, Marcus R.",Improving the Efficiency of Grant and Journal Peer Review: Registered Reports Funding,2017,,,"RRs aim to improve research quality; IPA reduces ""opportunity and incentives for biased research practices (eg, leveraging analytical flexibility to achieve statistical “significance”), raising standards of methodological disclosure and statistical power, and avoiding publication bias""",,,include; nicotine; note; announcement_funder_rr_partnership; funder_rr_partnerships; tobacco research
"Munafo, Marcus R.; Nosek, Brian A.; Bishop, Dorothy V. M.; Button, Katherine S.; Chambers, Christopher D.; du Sert, Nathalie Percie; Simonsohn, Uri; Wagenmakers, Eric-Jan; Ware, Jennifer J.; Ioannidis, John P. A.",A manifesto for reproducible science,2017,,,"RRs is promising as an effective intervention for nudging incentives (specifically openness & transparency); RRs aim to eliminate bias in hypothesis-driven research esp that from results-based evaluations of studies - IPA prevents pub bias & pre-study review help reduce p-hacking, HARKing & CARKing (esp when researchers & reviewers are invested in results); Opens door to alternative funding models e.g. simultaneous grant & stage one application peer review; Estimated extent of current adoption of RRs is < 5%)  + stakeholders = journals, institutions, funders",No empirical evidence; People object RRs limit exploration/creativity b/c mandate adherence to prereg BUT RRs do't restict creative analysis/serendipity b/c unplanned analyses welcome; Unsuitable for exploratory research; ,,include; note; funder_rr_partnerships
"Munafo, Marcus R.; Strain, Eric",Registered Reports: A new submission format at Drug and Alcohol Dependence,2014,,,RRs incentivise discrimination of exploratory and confirmatory research + reduce publication bias vs null results b/c ensure null results are informatively null (achieved through appropriate study design and adequate statistical power) & IPA  (2) IPA reduces pressure to p-hack + prevents results-based reviewing,This initiative is not meant to be prescriptive – Registered Reports is part of the solution to poor reproducibility in science NOT the solution,,include; announcement_RRs; note
"Nosek, Brian A.; Ebersole, Charles R.; DeHaven, Alexander C.; Mellor, David T.",The preregistration revolution,2018,,,"RR has benefits of prereg, reduces selective reporting  &  feedback can improve design",,,psychology; preregistration; bias; methodology; transparency; open science; confirmatory analysis; exploratory analysis; science; registration; file drawer; registered reports; inference; include; truth; note; false
"Nosek, Brian A.; Errington, Timothy M.",Reproducibility in Cancer Biology: Making sense of replications,2017,,,pre-study review = feedback can improve design + IPA avoids bias (e.g. bias vs null results + from reviewers accepting results they find favourable & rejecting unfavourable results; ,"Cumulatively, pre-study review & IPA "" maximize rigor, but they do not eliminate the possibility of error""",,include; registered-reports; note
"Nosek, Brian A.; Lakens, Daniel",Registered Reports A Method to Increase the Credibility of Published Results,2014,"""We received 36 pre-proposals [RRRs] of which 24 were encouraged to submit full proposals. Ultimately 14 proposals were accepted. A 15th article (Moon & Roeder, 2014) was solicited as a second replication of one of the peer reviewed, accepted proposal""",,pre-study review & IPA = RRs efficient method to change incentive for replications & reporting all results; IPA reduces barrier to replication b/c publication guarenteed + means no need to seek postivie & clean results; pre-study review changes reviewers' incentive = reviewers can demand multiple conditions & moderating influences anre controlled but each constraint makes result less generalisable & risks trivialising it = must ensure study is a fiar test but don't want to make the effect inapplicable (i.e. must evaluate quality of research not it's results & can't CARK); RRs  RRs helps align incentives for research accuracy & success = may increase result's credibility.,prereg & pre-study review doesn't eliminate Type 1 & 2 errors; BUT RRs don't prevent/discourag exploratory research they just keep confirmatory & exploratory research distinct,,ambady; announcement_RRs; bias; include; metaanalysis; note; pittinsky; replication attempt; science; standards; stereotype susceptibility shih; warmth
"Nyhan, Brendan",Increasing the Credibility of Political Science Research: A Proposal for Journal Reforms,2015,,,,,,replication; publication bias; transparency; include; registered-reports; note; gender; medicaid
"Olff, Miranda",Facts on psychotraumatology,2019,,,"IPA eliminates bias vs null results; RRs help reduce QRPS including low power, selective results reporting & publication bias; RRs allow reporting of serendipitous findings",,,registered reports; impact factor; Altmetrics; include; note; Open Access; Psychotrauma; ptsd; special   issues
"Parker, Richard M. A.; Browne, William J.",The Place of Experimental Design and Statistics in the 3Rs,2014,,,RRs guarentee publication of results regardless of their direction = helps reduce the overall numbers of animals in experiments,,,statistics; science; experimental design; registered-reports; guidelines; 3Rs; animal welfare; animals; laboratory animals; points; power calculations; reduction; refinement; replacement; size; welfare; include; note
"Probst, Tahira M.; Hagger, Martin S.",Advancing the Rigour and Integrity of Our Science: The Registered Reports Initiative,2015,,,,,,include; note
"Przybylski, Andrew K.; Weinstein, Netta",Violent video game engagement is not associated with adolescents' aggressive behaviour: evidence from a registered report,2019,,,,,,include; note
"Pustejovskyei, James E.; Rodgers, Melissa A.",Testing for funnel plot asymmetry of standardized mean differences,2019,,,RRs aim to realign incentives to prevent pub bias & selective outcome reporting ,,,meta-analysis; publication bias; include; registered-reports; metaanalysis; self-control; note; detect publication bias; estimating effect   size; meta-regression; outcome reporting bias; robust variance-estimation; standardized   mean difference
"Rapp, David N.",Registered Reports in Discourse Processes,2019,,,"Now offering RRs to support transparent research & evaluations of reproducibility of findings; RRs allows author to conduct & publish research regardless of whether they ""ultimately achieve community- and methodologically expected levels of significance.""",,,include; announcement_RRs; note
"Rice, Danielle B.; Moher, David",Curtailing the Use of Preregistration: A Misused Term,2019,,,RR & registration are sometimes confused,,,preregistration; include; note; history_registration; trial_registration
"Rothermund, Klaus; Koole, Sander L.",Three decades of Cognition & Emotion: A brief review of past highlights and future prospects,2018,"""The RRR section has not yet drawn many submissions, perhaps because the field needs some time to adjust to the new research climate""",,"Offering RRs demostrates their commitment ""testing and improving the reproducibility of emotion research.""; Changed RRR section into RR section b/c want to promote prereg for confirmatory research by opening the format to all kinds confirmatory research",,,psychology; disorders; include; psychopathology; memory; perspectives; note; anxiety; affective processing biases; appraisal; basic emotions; cognition and emotion; cognitive theories of emotion; emotion regulation; Historical review; life; registered replication report; special-issue
"Rotteveel, Mark; Gierholz, Alexander; Koch, Gijs; van Aalst, Cherelle; Pinto, Yair; Matzke, Dora; Steingroever, Helen; Verhagen, Josine; Beek, Titia F.; Selker, Ravi; Sasiadek, Adam; Wagenmakers, Eric-Jan",On the automatic link between affect and tendencies to approach and avoid: Chen and Bargh (1999) revisited,2015,,,"""the scientific community seems to be shifting its focus more toward direct replication. For instance, several journals ... launched a new type of article (i.e., Registered Replication Reports … and other journals)",,confuses RRs with RRRs,affect; approach; avoidance; crisis; default bayes factors; emotion; generality; hypothesis; include; note; predispositions; registered-reports; replication
"Smith, Graeme D.; Penny, Kay I.",Enhancing research integrity in academic nursing: The introduction of registered reports,2019,,,,,,include; announcement_RRs; note
"Syed, Moin",Open Science Initiatives at Emerging Adulthood,2018,,,,,,include; announcement_RRs; note; RRs
"Tibon, Roni; Henson, Richard",Title TBA: Revising the Abstract Submission Process,2018,,,"Proposes RR for conference abstracts to ""stimulate discussion throughout [research process], encourage preregistration, and foster collaborations, thereby promoting the core principles of Open
Science.""",,,include; registered-reports; note
"Uhlmann, Eric Luis; Ebersole, Charles R.; Chartier, Sage Christopher R.; Errington, Timothy M.; Kidwell, Mallory C.; Lai, Calvin K.; McCarthy, Randy J.; Riegelman, Amy; Silberzahn, Raphael; Nosek, Brian A.",Scientific Utopia III: Crowdsourcing Science,2019,,,"RRs alongside other reforms ""promise to increase the true positive rate for small studies""",,,replicability; reproducibility; power; replication; methodology; reliability; collaboration; crowdsourcing; metascience; teams; impact factor; include; registered-reports; quality; social-psychology; note; validity
"van Dick, Rolf","Registered Reports, Advance Articles Online, and the Way Ahead",2015,,,NA_no_access,,,include; note
"van't Veer, Anna E.; Gallucci, Marcello; Stel, Marielle; van Beest, Ilja",Unconscious deception detection measured by finger skin temperature and indirect veracity judgments-results of a registered report,2015,,,"The RR process had a ""positive role"" in developing their experiment & "" did not constrain our curiosity for exploring the data""; working with reviewers in an early stage ""maximizes chances of making a valuable contribution to current debates. In addition, this process and its open access character carry on the momentum, enabling researchers to continuously build on ongoing work."";  ""We would like to acknowledge that this work was for a great part made possible by the valuable comments and suggestions that the reviewers made""",,,include; cold; deception detection; interpersonal relations; physiological markers; accuracy; note; beliefs; indirect   deception detection; multilevel models; psychophysiology; skin temperature
"Ware, Jennifer J.; Munafo, Marcus R.","Significance chasing in research practice: causes, consequences and possible solutions",2015,,,,,,reproducibility; bias; publication bias; incentives; reliability; science; statistical power; fraud; False positive; include; registered-reports; impact; pre-registration; note; false; genetic association; persistence; significance chasing
"Wicherts, Jelte M.",The Weak Spots in Contemporary Science (and How to Fix Them),2017,,,,,,psychology; replicability; reproducibility; confirmation bias; publication bias; meta-research; p-values; include; recommendations; registered-reports; clinical-trials; note; citation bias; consort   statement; questionable research   practices; randomized controlled-trials; validity
"Wilkinson, Jack; Pellicer, Antonio; Niederberger, Craig",Registered reports: prospective peer review emphasizes science over spin,2019,,,,,,include; announcement_RRs; note
