"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Citekey"
"MAURI5EZ","journalArticle","2018","Campbell, Harlan; Gustafson, Paul","Conditional equivalence testing: An alternative remedy for publication bias","Plos One","","1932-6203","10.1371/journal.pone.0195145","","We introduce a publication policy that incorporates ""conditional equivalence testing"" (CET), a two-stage testing scheme in which standard NHST is followed conditionally by testing for equivalence. The idea of CET is carefully considered as it has the potential to address recent concerns about reproducibility and the limited publication of null results. In this paper we detail the implementation of CET, investigate similarities with a Bayesian testing scheme, and outline the basis for how a scientific journal could proceed to reduce publication bias while remaining relevant.","2018-04-13","2019-10-07 21:19:59","2019-10-28 20:52:11","","e0195145","","4","13","","PLoS One","","","","","","","","English","","","","","","","WOS:000430026900018","","C:\Users\zn18986\Zotero\storage\IXZIJ62Y\Campbell and Gustafson - 2018 - Conditional equivalence testing An alternative re.pdf","","include_key_critique","","campbell2018"
"XPZBGFPF","journalArticle","2015","Chambers, Christopher D.","TEN REASONS WHY JOURNALS MUST REVIEW MANUSCRIPTS BEFORE RESULTS ARE KNOWN","Addiction","","0965-2140","10.1111/add.12728","","","2015-01","2019-10-07 21:19:59","2019-10-28 20:29:36","","10-11","","1","110","","Addiction","","","","","","","","English","","","","","","","WOS:000346699700004","","C:\Users\zn18986\Zotero\storage\MZQC4AJU\Chambers - 2015 - TEN REASONS WHY JOURNALS MUST REVIEW MANUSCRIPTS B.pdf","","reproducibility; publication bias; incentives; False positives; questionable research practices; registered reports; registered-reports; truth; study pre-registration; include; note","","chambers2015"
"HIGHYFME","journalArticle","2017","Chambers, Christopher D.; Forstmann, Birte; Pruszynski, J. Andrew","Registered reports at the European Journal of Neuroscience: consolidating and extending peer-reviewed study pre-registration","European Journal of Neuroscience","","0953-816X","10.1111/ejn.13519","","","2017-03","2019-10-07 21:19:59","2019-11-01 18:17:18","","627-628","","5","45","","Eur. J. Neurosci.","","","","","","","","English","","","","","","","WOS:000398518300001","","C:\Users\zn18986\Zotero\storage\TRBI9FBC\Chambers et al. - 2017 - Registered reports at the European Journal of Neur.pdf","","incentives; editorial; truth; include; note","","chambers2017"
"PG7IVCNA","journalArticle","2019","Chambers, Christopher D.; Forstmann, Birte; Pruszynski, J. Andrew","Science in flux: Registered reports and beyond at the European Journal of Neuroscience","European Journal of Neuroscience","","0953-816X","10.1111/ejn.14319","","","2019-01","2019-10-07 21:19:59","2019-11-01 18:17:01","","4-5","","1","49","","Eur. J. Neurosci.","","","","","","","","English","","","","","","","WOS:000456800400002","","C:\Users\zn18986\Zotero\storage\6JZX4MME\Chambers et al. - 2019 - Science in flux Registered reports and beyond at .pdf","","editorial; include; note","","chambers2019"
"WKVFEMPW","journalArticle","2018","Chambers, Christopher D.; Mellor, David T.","Protocol transparency is vital for registered reports","Nature Human Behaviour","","2397-3374","10.1038/s41562-018-0449-6","","","2018-11","2019-10-07 21:19:59","2019-11-04 16:48:36","","791-792","","11","2","","Nat. Hum. Behav.","","","","","","","","English","","","","","","","WOS:000449539900002","","C:\Users\zn18986\Zotero\storage\VLKEYLNP\Chambers and Mellor - 2018 - Protocol transparency is vital for registered repo.pdf","","empirical; RRs; include_key; response_hardwicke2018","","chambers2018"
"FM5HLIU6","journalArticle","2016","Cook, Bryan G.","Reforms in Academic Publishing: Should Behavioral Disorders and Special Education Journals Embrace Them?","Behavioral Disorders","","0198-7429","10.17988/0198-7429-41.3.161","","Bias poses a significant threat to the validity of research findings as well as practices and policies based on research. Reforms to academic publishing have been proposed and implemented in other fields to address bias in research. In this paper I review some sources of bias in research, some proposed areas of reform in academic publishing (e.g., disclosure, open data and methods, preregistration, methodological guidelines for reviewers, registered reports, open review), and some potential problems associated with the reforms (e.g., limited empirical support, additional time and effort associated with implementation, placing journals at a competitive disadvantage, researchers relinquishing control of their data). I conclude with some thoughts to frame decisions on whether and how Behavioral Disorders and other special education journals might adopt reforms to academic publishing.","2016-05","2019-10-07 21:19:59","2019-10-28 20:29:36","","161-172","","3","41","","Behav. Disord.","","","","","","","","English","","","","","","","WOS:000388614600003","","C:\Users\zn18986\Zotero\storage\AIDZ9SAA\Cook - 2016 - Reforms in Academic Publishing Should Behavioral .pdf","","replication; publication bias; psychology; credibility; file drawer; registered reports; randomized controlled-trials; social-sciences; post; science research; include; note","","cook2016"
"LMHB32ZM","journalArticle","2018","Cook, Bryan G.; Lloyd, John Wills; Mellor, David; Nosek, Brian A.; Therrien, William J.","Promoting Open Science to Increase the Trustworthiness of Evidence in Special Education","Exceptional Children","","0014-4029","10.1177/0014402918793138","","Scientific evidence should guide the selection of practice for individuals with disabilities. Scientific evidence, however, must be trustworthy to move special education toward greater empirical certainty and more effective policies and practices. Transparency, openness, and reproducibility increase the trustworthiness of evidence. We propose that researchers in special education adopt emerging open-science reforms, such as preprints, data and materials sharing, preregistration of studies and analysis plans, and Registered Reports. Adoption of these practices will require shifts in cultural norms, guidelines, and incentives. We discuss how adopting open-science practices can advance the quality of research and, consequently, policy and practice in special education.","2018-10","2019-10-07 21:19:59","2019-10-28 21:42:07","","104-118","","1","85","","Except. Child.","","","","","","","","English","","","","","","","WOS:000446100000007","","C:\Users\zn18986\Zotero\storage\2TY6A24D\Cook et al. - 2018 - Promoting Open Science to Increase the Trustworthi.pdf","","replication; publication bias; replicability; incentives; registered reports; intervention; file   drawer; instruction; learning-disabilities; null; include; note","","cook2018"
"333K3YTJ","journalArticle","2018","Anonymous","What next for registered reports","Nature Human Behaviour","","2397-3374","10.1038/s41562-018-0477-2","","","2018-11","2019-10-07 21:19:59","2019-11-01 15:23:02","","789-+","","11","2","","Nat. Hum. Behav.","","","","","","","","English","","","","","","","WOS:000449539900001","","C:\Users\zn18986\Zotero\storage\8F3AYT6D\Anonymous - 2018 - What next for registered reports.pdf","","include_key; empirical_annecdotal; rejection_reasons_RRs; requested_revisions_RRs","","anonymous2018a"
"LVGIF4B7","journalArticle","2016","Attwood, Angela S.; Munafo, Marcus R.","Navigating an open road","Journal of Clinical Epidemiology","","0895-4356","10.1016/j.jclinepi.2015.04.016","","","2016-02","2019-10-07 21:19:59","2019-10-28 20:29:36","","264-266","","","70","","J. Clin. Epidemiol.","","","","","","","","English","","","","","","","WOS:000370676900033","","C:\Users\zn18986\Zotero\storage\5BZKBKVG\Attwood and Munafo - 2016 - Navigating an open road.pdf","","registered-reports; include; note","","attwood2016"
"HA2LJTPL","journalArticle","2017","Baxter, Mark G.; Burwell, Rebecca D.","Promoting Transparency and Reproducibility in Behavioral Neuroscience: Publishing Replications, Registered Reports, and Null Results","Behavioral Neuroscience","","0735-7044","10.1037/bne0000207","","The editors of Behavioral Neuroscience have been discussing several recent developments in the landscape of scientific publishing. The discussion was prompted, in part, by reported issues of reproducibility and concerns about the integrity of the scientific literature. Although enhanced rigor and transparency in science are certainly important, a related issue is that increased competition and focus on novel findings has impeded the extent to which the scientific process is cumulative. We have decided to join the growing number of journals that are adopting new reviewing and publishing practices to address these problems. In addition to our standard research articles, we are pleased to announce 3 new categories of articles: replications, registered reports, and null results. In joining other journals in psychology and related fields to offer these publication types, we hope to promote higher standards of methodological rigor in our science. This will ensure that our discoveries are based on sound evidence and that they provide a durable foundation for future progress.","2017-08","2019-10-07 21:19:59","2019-10-28 23:20:29","","275-276","","4","131","","Behav. Neurosci.","","","","","","","","English","","","","","","","WOS:000405584700001","","C:\Users\zn18986\Zotero\storage\HZYSQTD6\Baxter and Burwell - 2017 - Promoting Transparency and Reproducibility in Beha.pdf","","publication bias; p-hacking; HARKing; negative results; scientific   method; include; announcement_RRs; note; mpte","","baxter2017"
"SZ79LIMM","journalArticle","2019","Benning, Stephen D.; Bachrach, Rachel L.; Smith, Edward A.; Freeman, Andrew J.; Wright, Aidan G. C.","The Registration Continuum in Clinical Science: A Guide Toward Transparent Practices","Journal of Abnormal Psychology","","0021-843X","10.1037/abn0000451","","Clinical scientists can use a continuum of registration efforts that vary in their disclosure and timing relative to data collection and analysis. Broadly speaking, registration benefits investigators by offering stronger, more powerful tests of theory with particular methods in tandem with better control of long-run false positive error rates. Registration helps clinical researchers in thinking through tensions between bandwidth and fidelity that surround recruiting participants, defining clinical phenotypes, handling comorbidity, treating missing data. and analyzing rich and complex data. In particular. registration helps record and justify the reasons behind specific study design decisions, though it also provides the opportunity to register entire decision trees with specific endpoints. Creating ever more faithful registrations and standard operating procedures may offer alternative methods of judging a clinical investigator's scientific skill and eminence because study registration increases the transparency of clinical researchers' work.","2019-08","2019-10-07 21:19:59","2019-10-28 20:29:07","","528-540","","6","128","","J. Abnorm. Psychol.","","","","","","","","English","","","","","","","WOS:000478024300006","","C:\Users\zn18986\Zotero\storage\4SGX52R2\Benning et al. - 2019 - The Registration Continuum in Clinical Science A .pdf","","transparency; preregistration; credibility; disorders; registered-reports; coregistration; flexibility; framework; postregistration; psychopathology; symptoms; include; note","","benning2019"
"G57PKC5S","journalArticle","2017","Byington, Eliza K.; Felps, Will","Solutions to the Credibility Crisis in Management Science","Academy of Management Learning & Education","","1537-260X","10.5465/amle.2015.0035","","We argue that much academic misconduct can be explained as the result of social dilemmas occurring at two levels of management science. First, the career benefits associated with engaging in noncredible research practices (NCRPs; e.g., data manipulation, fabricating results, data hoarding, undisclosed HARKing) result in many academics choosing self-interest over collective welfare. These perverse incentives derive from journal gatekeepers who are pressed into a similar social dilemma; namely, an individual journal's status (i.e., its ""impact factor"") is likely to suffer from unilaterally implementing practices that help ensure the credibility of management science claims (e.g., dedicating journal space to strict replications, crowd-sourcing replications, data-submission requirements, in-house analysis checks, registered reports, Open Practice badges). Fortunately, research on social dilemmas and collective action offers solutions. For example, journal editors could pledge to publish a certain number of credibility boosting articles contingent on a proportion of their ""peer"" journals doing the same. Details for successful implementation of conditional pledges, other social dilemma solutions-including actions for management academics who support changes in journal practices (e.g., reviewer boycotts/buycotts), and insights on credibility-supportive journal practices from other fields-are provided.","2017-03-01","2019-10-07 21:19:59","2019-10-28 21:42:07","","142-162","","1","16","","Acad. Manag. Learn. Educ.","","","","","","","","English","","","","","","","WOS:000398905600010","","","","replication; communication; publication bias; psychology; cooperation; consequences; organizational sciences; scientific literature; social dilemmas; strategic management; include; note","","byington2017"
"T3VBEZE5","journalArticle","2019","Chambers, Chris","What's next for Registered Reports?","Nature","","0028-0836","10.1038/d41586-019-02674-6","","","2019-09-12","2019-10-07 21:19:59","2019-11-01 17:42:39","","187-189","","7773","573","","Nature","","","","","","","","English","","","","","","","WOS:000485415400029","","","","include_key; funder_rr_partnerships; empirical_annecdotal; history_RRs","","chambers2019a"
"9ERIHT9P","journalArticle","2013","Chambers, Christopher D.","Registered Reports: A new publishing initiative at Cortex","Cortex","","0010-9452","10.1016/j.cortex.2012.12.016","","","2013-03","2019-10-07 21:19:59","2019-10-28 20:32:54","","609-610","","3","49","","Cortex","","","","","","","","English","","","","","","","WOS:000317322900001","","C:\Users\zn18986\Zotero\storage\7LRNF92M\Chambers - 2013 - Registered Reports A new publishing initiative at.pdf","","incentives; truth; prevalence; include; note","","chambers2013"
"BMHR9VL3","journalArticle","2015","Chambers, Christopher D.; Dienes, Zoltan; McIntosh, Robert D.; Rotshtein, Pia; Willmes, Klaus","Registered Reports: Realigning incentives in scientific publishing","Cortex","","0010-9452","10.1016/j.cortex.2015.03.022","","","2015-05","2019-10-07 21:19:59","2019-10-28 20:32:54","","A1-A2","","","66","","Cortex","","","","","","","","English","","","","","","","WOS:000354156500023","","C:\Users\zn18986\Zotero\storage\4S4GR6RY\Chambers et al. - 2015 - Registered Reports Realigning incentives in scien.pdf","","statistical power; truth; psychological-research; include; note","","chambers2015a"
"SX4B477F","journalArticle","2018","Cropley, Arthur","Research as Artisanship versus Research as Generation of Novelty: The March to Nowhere","Creativity Research Journal","","1040-0419","10.1080/10400419.2018.1500190","https://www.tandfonline.com/doi/full/10.1080/10400419.2018.1500190","The desire to ensure that its findings stand up to scrutiny is leading to a redefinition of research as skilled application of special techniques rather than a search for fresh insights. Generating novelty is now being seen as dangerous, because it could lead to false conclusions and loss of public confidence. The remedy is said to be replicability. However, replicability is not the goal of research, but a criterion for testing the robustness of novel ideas. The real problem is not excessive focus on novelty, but the poor quality of public dissemination of research findings. Thus, what is needed are public education and a responsible role for the media in informing the public, not the self-imposition of stifling orthodoxy on research.","2018","2019-10-07 21:19:59","2019-11-02 12:44:11","","323-328","","4","30","","Creativ. Res. J.","","","","","","","","English","","","","","","","ZSCC: 0000000  WOS:000453358000001","","","","include_key_critique","","cropley2018"
"EVAVIEV2","journalArticle","2018","Davies, Graham M.; Granhag, Par-Anders","ACP to publish Registered Reports","Applied Cognitive Psychology","","0888-4080","10.1002/acp.3456","","","2018-10","2019-10-07 21:19:59","2019-10-28 22:24:08","","525-525","","5","32","","Appl. Cogn. Psychol.","","","","","","","","English","","","","","","","WOS:000444224200001","","C:\Users\zn18986\Zotero\storage\WRYHE2NL\Davies and Granhag - 2018 - ACP to publish Registered Reports.pdf","","include; announcement_RRs; note","","davies2018"
"WMV68TMA","journalArticle","2015","Dessing, Joost C.; Beek, Peter J.","Human Movement Science adopts Registered Reports for hypothesis-driven research","Human Movement Science","","0167-9457","10.1016/j.humov.2015.09.011","","","2015-12","2019-10-07 21:19:59","2019-10-31 11:22:56","","A1-A2","","","44","","Hum. Mov. Sci.","","","","","","","","English","","","","","","","WOS:000365361700001","","C:\Users\zn18986\Zotero\storage\VLADAHSN\Dessing and Beek - 2015 - Human Movement Science adopts Registered Reports f.pdf","","include; announcement_RRs; note","","dessing2015"
"93LNH77S","journalArticle","2018","Donnellan, M. Brent; Lucas, Richard E.","Introduction to the special issue - A replication project in personality psychology","Journal of Research in Personality","","0092-6566","10.1016/j.jrp.2017.11.004","","","2018-02","2019-10-07 21:19:59","2019-11-02 14:13:12","","1-4","","","72","","J. Res. Pers.","","","","","","","","English","","","","","","","WOS:000424724700001","","C:\Users\zn18986\Zotero\storage\QSDHM5QU\Donnellan and Lucas - 2018 - Introduction to the special issue - A replication .pdf","","replicability; science; registered-reports; recommendations; special section; note; include_key_personal_XP","","donnellan2018"
"ZHJD548E","journalArticle","2017","Eberlen, Julia; Scholz, Geeske; Gagliolo, Matteo","Simulate this! An Introduction to Agent-Based Models and their Power to Improve your Research Practice","International Review of Social Psychology","","2397-8570","10.5334/irsp.115","","The method of agent-based modeling is rarely used in social psychology, but has the potential to complement and improve traditional research practices. An agent-based model (ABM) consists of a number of virtual individuals the ""agents"" interacting in an artificial, experimenter-controlled environment. In this article, we discuss several characteristics of ABMs that could prove particularly useful with respect to recent recommendations aimed at countering issues related to the current ""replication crisis"". We address the potential synergies between planning and implementing an ABM on the one hand, and the endeavor of pre-registration on the other. We introduce ABMs as tools for both the generation and the improvement of theory, testing of hypotheses, and for extending traditional experimental approaches by facilitating the investigation of social processes from the intra-individual all the way up to the societal level. We describe examples of ABMs in social psychology, including a detailed description of the CollAct model of social learning. Finally, limitations and drawbacks of agent-based modeling are discussed. In annex 1 and 2, we provide literature and tool recommendations for getting started with an ABM.","2017-07-03","2019-10-07 21:19:59","2019-11-04 14:59:06","","149-160","","1","30","","Int. Rev. Soc. Psychol.","","","","","","","","English","","","","","","","WOS:000433442400002","","C:\Users\zn18986\Zotero\storage\JNAC7ZCA\Eberlen et al. - 2017 - Simulate this! An Introduction to Agent-Based Mode.pdf","","Methodology; replicability; registered reports; Replication Crisis; social-psychology; management; recommendations; Agent-Based Models; Computational Social Sciences; odd protocol; pre-registration; Social Psychology; us; include; note","","eberlen2017"
"TAD2NBIH","journalArticle","2018","Elkins-Brown, Nathaniel; Saunders, Blair; Inzlicht, Michael","The misattribution of emotions and the error-related negativity: A registered report","Cortex","","0010-9452","10.1016/j.cortex.2018.08.017","","A growing body of work in social and affective neuroscience suggests that emotion plays an instrumental role in error monitoring processes, rather than only a moderating one. High-powered replications of studies that support this idea, however, are lacking. Here, we attempted a preregistered replication of our own study that had provided evidence for the functional role of emotions in error monitoring: that a neural signal of error monitoring-the error-related negativity-is reduced when participants undergo a misattribution of arousal procedure (Inzlicht & Al-Khindi, 2012). Like a previous replication attempt (Rodilla et al, 2016), our misattribution procedure failed to reduce the amplitude of the ERN. However, it also failed its manipulation check to reduce state anxiety, limiting the conclusions we can draw. Nonetheless, these findings are consistent with the view that our original study may have been a false positive. We discuss these findings in the context of the replication crisis in psychology and of work on the emotional properties of the ERN. (C) 2018 Elsevier Ltd. All rights reserved.","2018-12","2019-10-07 21:19:59","2019-11-04 16:44:04","","124-140","","","109","","Cortex","","","","","","","","English","","","","","","","WOS:000452945800011","","C:\Users\zn18986\Zotero\storage\NNT8G2WC\Elkins-Brown et al. - 2018 - The misattribution of emotions and the error-relat.pdf","","Replication; reliability; false discovery rate; motivation; Anxiety; anxiety; performance; punishment; Emotion; ern; anterior cingulate; brain activity; Misattribution; responsiveness; include; note; empirical_RR","","elkins-brown2018"
"YJL7TEX2","journalArticle","2014","Errington, Timothy M.; Iorns, Elizabeth; Gunn, William; Tan, Fraser Elisabeth; Lomax, Joelle; Nosek, Brian A.","An open investigation of the reproducibility of cancer biology research","Elife","","2050-084X","10.7554/elife.04333","","It is widely believed that research that builds upon previously published findings has reproduced the original work. However, it is rare for researchers to perform or publish direct replications of existing results. The Reproducibility Project: Cancer Biology is an open investigation of reproducibility in preclinical cancer biology research. We have identified 50 high impact cancer biology articles published in the period 2010-2012, and plan to replicate a subset of experimental results from each article. A Registered Report detailing the proposed experimental designs and protocols for each subset of experiments will be peer reviewed and published prior to data collection. The results of these experiments will then be published in a Replication Study. The resulting open methodology and dataset will provide evidence about the reproducibility of high-impact results, and an opportunity to identify predictors of reproducibility.","2014-12-10","2019-10-07 21:19:59","2019-10-28 20:29:36","","e04333","","","3","","eLife","","","","","","","","English","","","","","","","WOS:000346170600001","","C:\Users\zn18986\Zotero\storage\6Y2G93BK\Errington et al. - 2014 - An open investigation of the reproducibility of ca.pdf","","replication; science; neuroscience; publication; consequences; false; psychological-research; prevention; again; availability; include; note","","errington2014"
"VW2VWQXH","journalArticle","2018","Francis, Gregory; Bachmann, Talis","Registered reports for Consciousness and Cognition","Consciousness and Cognition","","1053-8100","10.1016/j.concog.2017.10.007","","","2018-01","2019-10-07 21:19:59","2019-11-04 16:29:28","","A1-A3","","","57","","Conscious. Cogn.","","","","","","","","English","","","","","","","WOS:000424856400001","","C:\Users\zn18986\Zotero\storage\6TPE5Y5S\Francis and Bachmann - 2018 - Registered reports for Consciousness and Cognition.pdf","","editorial; include; announcement_RRs; note","","francis2018"
