Author,Publication Year,Title,empirical_pro,empirical_con,Pro_opinion,critique & responses_opintion,comments,refs to papers not found in search,Manual Tags
"Greiff, Samuel; Allen, Mark S.",2018,EJPA Introduces Registered Reports as New Submission Format,,,,,,,include_key
"Hardwicke, Tom E.; Ioannidis, John P. A.",2018,Mapping the universe of registered reports,,,,,,,empirical; trials; include_key
"Horbach, S. P. J. M.; Halffman, W.",2019,The ability of different peer review procedures to flag problematic publications,,,,,,,empirical; retraction; include; RRs
"Kettler, Todd",2019,Conducting Registered Report Research: A Conversation With Matthew McBee and Scott Peters,,,,,,,include_key; empirical_case_study
"Kiyonaga, Anastasia; Scimeca, Jason M.",2019,Practical Considerations for Navigating Registered Reports,,,,,,,include_key_has_critique
"Marsden, Emma; Morgan-Short, Kara; Trofimovich, Pavel; Ellis, Nick C.",2018,"Introducing Registered Reports at Language Learning: Promoting Transparency, Replication, and a Synthetic Ethic in the Language Sciences",,,,,,,replication; transparency; open science; publication bias; preregistration; peer review; registered report; include_key_has_critique
"McIntosh, Robert D.",2017,Exploratory reports: A new article type for Cortex,,,,,,,incentives; registered-reports; include_key
"Mehlenbacher, Ashley Rose",2019,Registered Reports: Genre Evolution and the Research Article,,,,,,,empirical; include_key
"Parker, Timothy; Fraser, Hannah; Nakagawa, Shinichi",2019,Making conservation science more reliable with preregistration and registered reports,,,,,,,include_key_has_critique
"Robertson, Miranda",2017,Who needs registered reports?,,,,,,,include_key; empirical_case_study; announcement_RRs
"Shaw, Steven R.; D'Intino, Joseph S.; Lysenko, Ekaterina",2019,"Registered Reports, Replication, and the Canadian Journal of School Psychology: Improving the Evidence in Evidence-Based School Psychology",,,,,,,publication bias; incentives; editorial; crisis; evidence-based interventions; improving research; registered   reports; replications; include_key_has_critique
"Spiller, Tobias R.; Olff, Miranda",2018,Reducing uncertainty in research: introducing registered reports,,,,,,,include_key_has_critique
"van 't Veer, Anna Elisabeth; Giner-Sorolla, Roger",2016,Pre-registration in social psychology-A discussion and suggested template,"In our own experience with RPR, suggestions by reviewers reflected a valuable collaborative effort to ensure the best
possible test of the hypotheses (e.g., van ‘t Veer, Gallucci, Stel, & van Beest, 2015).","""Currently, submitted manuscripts are often prepared in word-processing software and contain insufficient methodological detail or linking between predictions and analyses. ""","IPA = prereg will reduce publication bias for confirmatiory results; pre-study review adds scruitiny of design = more flaws can be avoided; RR process ""makes better use of reviewers’ and editors’ critical efforts"" b/c can improve design; RR esp beneficial to students & ECRs b/c accepted stage 1s demonstrate skills of theorising, conceiving & implementing  w/o needing to wait for (publishable) results + shifts incentive from quantitiy to quality & from results to method (important ""especially for people at a delicate career stage""); RR journals will report more null results = reduce pub bias","Definitive conclusions are premature BUT reasonable to expect some positives; RRs more efforful b/c additional peer-review + editors & reviewers need to check & assess aherence to protocol + review validity of any exploratory analyses BUT whole review process could be shorter under RR b/c revisions (additional studies & analyses) less likely & probably simpler as many could be requested in stage 1,   better designs = less resubmisions + eliminates detective work editors & reviewers may need to make to uncover selective analysis; most effective for single-studies, sequential studies independent from each other's outcomes &  sequestional studies (with alternate plans for studies that depend on previous outcomes) b/c other types of sequential studies will need multiple rounds of pre-study & IPA = will increase time & effort considerably; RRs will mean more null results in journals BUT null results can reveal unreliable theory & methods = others can avoid/refine them earlier = saves time & effort = faster knowledge accumulation + encourage rigourous methods (powered, validated manipulations & measures) b/c otherwise null results can be blamed on shaky methods/Type II error; reviewers may steal research ideas (scooping) BUT still a risk in grant & traditional reviewing + obvious +  provable; pre-study review can identify undiscplosed flexibility in prereg BUT will only be as good as the reviewers",paper talked about reviewed & unreviewed prereg and refered to prereg when talking about benefits both had. Most of the benefits of RRs they discussed were those afforded by prereg,,include_key_has_critique
"Weinhardt, Christof; van der Aalst, Wil M. P.; Hinz, Oliver",2019,Introducing Registered Reports to the Information Systems Community,,,,,,,reproducibility; announcement_RRs; include_key_has_critique
"Wessel, Ineke; Niemeyer, Helen",2019,"We need to change our attitude, and journals can help: Reflections in response to Spiller & Olff (2018)",,,,,,,open science; replication crisis; Registered reports; include_key
"Wiseman, Richard; Watt, Caroline; Kornbrot, Diana",2019,Registered reports: an early example an analysis,,,,,,,empirical; include_key
"Woznyj, Haley M.; Grenier, Kelcie; Ross, Roxanne; Banks, George C.; Rogelberg, Steven G.",2018,Results-blind review: a masked crusader for science,,,,,,,empirical; include
,,,,,,,,,
,,,,,Note. IPA != results blind peer review (it's benefits could come from guarenteed publication OR methods based review),,,,
