author,year,title,no_evidence,evidence,empirical_pro,empirical_con,opinion_pro,opinion_con_buts,comments,manual_tags
"Marsden, Emma; Morgan-Short, Kara; Trofimovich, Pavel; Ellis, Nick C.",2018," Introducing Registered Reports at Language Learning: Promoting Transparency, Replication, and a Synthetic Ethic in the Language Sciences ",FALSE,quasi,"From the reviewers’ point of view, their role is arguably more satisfying because they have the opportunity to identify methodological flaws before data are gathered, and we understand that reviewers indeed find this rewarding (C. Chambers, personal communication, January 16, 2017); citations of Registered Reports to date have been above the average for the journal they are published in (C. Chambers, personal communication, January 16, 2017)",,"RRs address issues with publication processes (pub bias & waste from flawed designs) b/c feedback can inform design; IPA = prevents pre-existing beliefs biasing interpretation of results = reduces pub bias = RRs promote submission & publication of replications; stage one must include all materials & protocols with aim of sharing them & can be shared before data collection  methods which would enable collaboration & independent replication = RRs are more transparent = could improve replication's quality & quantity; RRs get more citations than the average journal in their publishing journal = resolves concerns replications have ""low impact"" = will promote replication;  analyses can't be p-hacked or HARKed; data collected before stage one; impossible b/c  feedback will negate it, date-stamped data files are submitted + researchers subit logs of data collection process if appropriate; RRs = quality research",concern RRs prolong time to publication & yes pre-study review prolongs early phase of publication process BUT RR just redistibutes time of different research process stages & probably shorens it overall b/c  rejections & resubmissions less likely - stage 2 review quicker & publication more likely b/c  no delays from reviewers questioning study's importance or methodological quality = amoung major reasons for rejection + feedback can improve design even if study doesn't get IPA; authors could collect data before IPA BUT feedback will almost always require changes that invalidate it & researchers must submit date-stamped data files; conerns RRs limited to hypothesis testing BUT unplanned analyses welcome if clearly reported = ensure confirmatory & exploratory analyses distinct; concerns sharing materials & protocols shared before data collection = scooping by others BUT can embargo them; unsuitable for some research & high value of RRs may marginalise them BUT RRs don't replace existing formats they are just one way to increase rigour & replication for some methods & perspectives,,replication; transparency; open science; publication bias; preregistration; peer review; registered report; include_key_has_critique
"McIntosh, Robert D.",2017, Exploratory reports: A new article type for Cortex ,FALSE,quasi,Their experience at Cortex suggests RRs most suited to mature research questions or direct replications b/c developed theories & methods + previous studies/pilots to inform effect size of interst = precise predictions,,"RRs focuses review on importance of question & rigour & power of methods; detailed planning brings benefits; mandated protocol adherence = can't HARK or p-hack; Offering Exploratory Reports with aim of supporting & promoting exploratory open science & provide ""high-status specialised format"" to publish it, make it clear exploratory work doesn't have to be design or evaluated like hypothesis testing, make exploratory nature clear to reader+ make public statement that exploratory research is published & considered essential",RRs are inflexible & resource intensive; in theory could use RRs for exploratory research BUT too complicated & restictive in practice; success of Exploratory Reports depends on uptake by researchers & its contribution to the field,,incentives; registered-reports; include_key
"Mehlenbacher, Ashley Rose",2019, Registered Reports: Genre Evolution and the Research Article ,FALSE,quali,not 100% what this shows empircally although interesting - seems to focus on 1 RR as case study,,tbd,,,empirical; include_key
"Parker, Timothy; Fraser, Hannah; Nakagawa, Shinichi",2019, Making conservation science more reliable with preregistration and registered reports ,FALSE,quasi,"""In fact, the rate of acceptance of registered reports is around 70% (B. Nosek, personal communication)""; ""We predict the registered reports of early adopters are likely to garner more attention because these works will become exemplars for their respective area of study. Preregistration and registered reports are good for researchers, good for research, and good for the reliability of science as a whole.""",,"RRs provide all benefits of prereg but are stronger solution to biases; IPA = major benefit b/c publication & submission decisions independent of results; pre-study = feedback can improve study = better studies & no rejections due to flawed designs + high acceptance rate good for researchers b/c no waste from resubmissions; RRs are public statement of committment to transparency; selective reporting less likely; RRs reduce pub bias; Allen & Mehler (2018) = Rs have more null findings = ""excellent evidence"" RRs reduce bias = results-blind publication decisions are increasing reliability","Unsuitable for exploratory research; unsuitable for research that can't wait for IPA before collection e.g. systems with limited field seasons BUT could have ""expedited"" RR with three stages of review BUT noone offers this; concern methods can't be changed after IPA BUT small changes probably fine if approved by editors & pilot study will help avoid changes; unsuitable for some research using existing data BUT some journals allow RRs with existing data; there may be data-dependent analysis choices BUT can prereg decision rules that allow adjustment of data-analysis methods; concerns about exploratory analyses not being allow BUT manu journals welcome unplanned analyses; concerns RRs are more work BUT RRs have same workload benefits as prereg & shifts distibution of work not overall amount + can save time if feedback improves design = rejections less likely; concerns RRs are extra work for reviewers & editors BUT RRs shift distribution of work b/c most reviewing done at stage 1 & stage 2 requires less & field-wide burden of reviewing will reduce as resubmissions less likely; reviewing more satistfying b/c can improve design rather than condemn it; conern that prereg sufficient BUT RRs offer extra benefits of pre-study review + IPA = can do research without fear it won't be published b/c of a flawed design or unpublishable results",,include_key_has_critique
"Robertson, Miranda",2017, Who needs registered reports? ,FALSE,quasi,"""it’s clearly possible to find referees who are willing – other journals already do, and we have some volunteers from among our Editorial Board.""; they surveyed their editorial board and of those who replied 50% were for RRs, about 1/3 were skeptical & the rest were against RRs",,,"RRs mean null results will get published BUT any results are important if the quesiton is; reviewers might scoop BUT risk is low, publication is guarenteed & submision date of stage one will be obvious; reviewing will often be more work BUT referees are willing (see empirical_pro); concern unsuitable for sequential studies where results depend on each other BUT can predict different possible results & plan contingencies + unplanned analyses welcome BUT will be unsuitable for some research (and most biological research); authors could withdraw stage one and submit stage 2 to different journal BUT journals can publish notices of withdrawal",,include_key; empirical_case_study; announcement_RRs
"Shaw, Steven R.; D'Intino, Joseph S.; Lysenko, Ekaterina",2019," Registered Reports, Replication, and the Canadian Journal of School Psychology: Improving the Evidence in Evidence-Based School Psychology ",TRUE,,,,"RRs minimise pub bias, p-hacking, harking, low statistical power, and increase transparency = RRs more likely to have robust evidence; prereg reduces pub bias, HARKing, p-hacking & selective results reporting",,,publication bias; incentives; editorial; crisis; evidence-based interventions; improving research; registered   reports; replications; include_key_has_critique
"Spiller, Tobias R.; Olff, Miranda",2018, Reducing uncertainty in research: introducing registered reports ,TRUE,,,,"aim of RRs is to grant publication on relevance of question & appropriateness of methods not on the results b/c all answers to important questions are important; RRs increase predicability of research process b/c IPA = researchers have security of guarenteed publication, outcomes of a research project are more predictable + IPA protocols can be added to CVs; faster publication once stage 2 submitted b/c only review results & discussion + IPA = no resubmissions b/c rejection for non-novelty, results or flawed design; more likely to have adequate methods + be a true postive; RRs have educational; RRs will help their researchers, field & journal to increase research reliability = help fulfil ethical obligation to prevent harm to beneficiaries","concerns prereg will prevent exploratory analyses BUT unplanned analyses welcome if justified & primary outcome not changed; concerns unsuitable for existing data BUT RRs sutiable for allconfirmatory research including existing data & qualitative;  pre-study review occurs before data collection & focuses on relevance of question & appriateness of methods including sufficent methods & power = planning may be more work BUT less work than changing methods after data collection; higher predictability & guarenteed publications may not interest established researchers BUT crucial for ECRs & students b/c successful completion more likely, strenthens job applications & increases security = may help mental health & prevents careers being damaged by prolonged projects & unpublishable results",,include_key_has_critique
"van 't Veer, Anna Elisabeth; Giner-Sorolla, Roger",2016, Pre-registration in social psychology-A discussion and suggested template ,FALSE,quasi,"In our own experience with RPR, suggestions by reviewers reflected a valuable collaborative effort to ensure the best possible test of the hypotheses (e.g., van ‘t Veer, Gallucci, Stel, & van Beest, 2015).","""Currently, submitted manuscripts are often prepared in word-processing software and contain insufficient methodological detail or linking between predictions and analyses. ""","IPA = prereg will reduce pub bias for confirmatiory results; pre-study review adds scruitiny of design = more flaws can be avoided; RR process ""makes better use of reviewers’ and editors’ critical efforts"" b/c can improve design; RR esp beneficial to students & ECRs b/c accepted stage 1s demonstrate skills of theorising, conceiving & implementing  w/o needing to wait for (publishable) results + shifts incentive from quantitiy to quality & from results to method (important ""especially for people at a delicate career stage""); RR journals will report more null results = reduce pub bias; ","Definitive conclusions are premature BUT reasonable to expect some positives; RRs more efforful b/c additional peer-review + editors & reviewers need to check & assess aherence to protocol + review validity of any exploratory analyses BUT whole review process could be shorter under RR b/c revisions (additional studies & analyses) less likely & probably simpler as many could be requested in stage 1,   better designs = less resubmisions + eliminates detective work editors & reviewers may need to make to uncover selective analysis; most effective for single-studies, sequential studies independent from each other's outcomes &  sequestional studies (with alternate plans for studies that depend on previous outcomes) b/c other types of sequential studies will need multiple rounds of pre-study & IPA = will increase time & effort considerably; RRs will mean more null results in journals BUT null results can reveal unreliable theory & methods = others can avoid/refine them earlier = saves time & effort = faster knowledge accumulation + encourage rigourous methods (powered, validated manipulations & measures) b/c otherwise null results can be blamed on shaky methods/Type II error; reviewers may steal research ideas (scooping) BUT still a risk in grant & traditional reviewing + obvious +  provable; pre-study review can identify undiscplosed flexibility in prereg BUT will only be as good as the reviewers",paper talked about reviewed & unreviewed prereg and refered to prereg when talking about benefits both had. Most of the benefits of RRs they discussed were those afforded by prereg,include_key_has_critique
"Weinhardt, Christof; van der Aalst, Wil M. P.; Hinz, Oliver",2019, Introducing Registered Reports to the Information Systems Community ,TRUE,,,,tbd - not empirical,,,reproducibility; announcement_RRs; include_key_has_critique
"Wessel, Ineke; Niemeyer, Helen",2019," We need to change our attitude, and journals can help: Reflections in response to Spiller & Olff (2018) ",TRUE,,,,"RRs are important step toward mitigating problems in psychology (e.g. publication bias for positive results & QRPs (e.g. p-value based optional stopping)); IPA & pre-study review = publication decisions based on analysis plan's ""specificity & quality) not result's significance or newsworthiness; RRs = precise study plans = will increase their research quality; tbd",,,open science; replication crisis; Registered reports; include_key
"Wiseman, Richard; Watt, Caroline; Kornbrot, Diana",2019, Registered reports: an early example an analysis ,FALSE,,see study,,,,,empirical; include_key
"Woznyj, Haley M.; Grenier, Kelcie; Ross, Roxanne; Banks, George C.; Rogelberg, Steven G.",2018, Results-blind review: a masked crusader for science ,FALSE,,see study,,,,,empirical; include
